L1,L2,NWND,Cluster_Number
ve2,fro,5.59967781597518,1
fro,ve2,5.59967781597518,1
ruo,rup,5.59974228649861,1
rup,ruo,5.59974228649863,1
lm2,ca5,5.59989326013614,1
ca5,lm2,5.59989326013614,1
li1,ca6,5.60060802425897,1
ca6,li1,5.60060802425897,1
ca2,itf,5.6009831748395,1
itf,ca2,5.60098317483951,1
fro,fra,5.60369118867593,1
fra,fro,5.60369118867593,1
glg,lm1,5.60419579389045,1
lm1,glg,5.60419579389046,1
rup,itf,5.60847824607761,1
itf,rup,5.60847824607762,1
ita,ro4,5.60852012422675,1
ro4,ita,5.60852012422677,1
eg4,pr2,5.60889189595337,1
pr2,eg4,5.60889189595338,1
sc2,lm2,5.61193549986095,1
lm2,sc2,5.61193549986095,1
ro2,pr1,5.61350178624782,1
pr1,ro2,5.61350178624782,1
sc3,ca5,5.61385257507486,1
ca5,sc3,5.61385257507489,1
ro2,pm4,5.61502580555054,1
lm2,ca4,5.61559869800624,1
ca4,lm2,5.61559869800624,1
ita,fro,5.61903617954253,1
fro,ita,5.61903617954254,1
pr1,itf,5.61913750970479,1
itf,pr1,5.6191375097048,1
lm2,glg,5.62148458255521,1
glg,lm2,5.62148458255522,1
ll1,ito,5.62202477379226,1
ito,ll1,5.62202477379226,1
src,li3,5.62254157134688,1
li3,src,5.62254157134688,1
ro1,pm5,5.62306977102432,1
pm5,ro1,5.62306977102432,1
ita,ro1,5.62308598457626,1
ro1,ita,5.62308598457628,1
src,ca4,5.62341991417674,1
ca4,src,5.62341991417674,1
eg1,ll1,5.62398686473054,1
ll1,eg1,5.62398686473055,1
sc2,ast,5.62452048784567,1
ast,sc2,5.62452048784569,1
lat,eg3,5.62550139667954,1
eg3,lat,5.62550139667956,1
src,pm4,5.62624166031354,1
nea,pm4,5.62721275391662,1
eg1,ca2,5.62790201791432,1
ca2,eg1,5.62790201791433,1
fro,ca6,5.62814802721432,1
ca6,fro,5.62814802721432,1
li3,ll1,5.6283752490384,1
ll1,li3,5.62837524903841,1
fro,pm4,5.62932958448658,1
pm1,dlm,5.62968211760812,1
dlm,pm1,5.62968211760812,1
src,fur,5.6308524827689,1
fur,src,5.6308524827689,1
sc4,ast,5.6319583273261,1
ast,sc4,5.63195832732612,1
pm3,fro,5.63287829507294,1
fro,pm3,5.63287829507294,1
src,ll2,5.63550825684312,1
ll2,src,5.63550825684312,1
sro,li1,5.63628598797174,1
li1,sro,5.63628598797174,1
ve1,dlm,5.63685817833613,1
dlm,ve1,5.63685817833614,1
eg2,ca3,5.63733077183565,1
ca3,eg2,5.63733077183565,1
pr1,ro3,5.64106991134511,1
ro3,pr1,5.64106991134513,1
pr1,lm1,5.64120582732045,1
lm1,pr1,5.64120582732046,1
fur,ca1,5.64227468503923,1
ca1,fur,5.64227468503923,1
lat,eg2,5.64360154898623,1
eg2,lat,5.64360154898624,1
fro,ca3,5.64394282483707,1
ca3,fro,5.64394282483707,1
ro4,ca4,5.64635220631005,1
ca4,ro4,5.64635220631005,1
nea,pm3,5.64838201837792,1
pm3,nea,5.64838201837793,1
ro2,fur,5.64847893786832,1
fur,ro2,5.64847893786832,1
sc3,spa,5.64961451411137,1
spa,sc3,5.64961451411138,1
qbb,eg3,5.6496989097104,1
eg3,qbb,5.64969890971041,1
li3,ast,5.6505875308676,1
ast,li3,5.65058753086762,1
fur,fro,5.65177136989882,1
fro,fur,5.65177136989882,1
sc2,ca5,5.65198769599205,1
ca5,sc2,5.65198769599207,1
ita,ll1,5.65388496487434,1
ll1,ita,5.65388496487435,1
pm5,glg,5.65397024583933,1
glg,pm5,5.65397024583933,1
ll1,li2,5.65510584642726,1
li2,ll1,5.65510584642726,1
ro1,lm1,5.65567745713227,1
lm1,ro1,5.65567745713227,1
src,pm3,5.65578375925265,1
pm3,src,5.65578375925265,1
nea,li1,5.65615062777484,1
li1,nea,5.65615062777484,1
sc1,qbb,5.65622232046334,1
qbb,sc1,5.65622232046334,1
eg1,sc4,5.65625342531195,1
sc4,eg1,5.65625342531197,1
ll2,ca2,5.65859446293137,1
ca2,ll2,5.65859446293138,1
pm2,nea,5.66011014783512,1
nea,pm2,5.66011014783512,1
pm4,ro4,5.66177364980002,1
sc4,qbb,5.661923136159,1
qbb,sc4,5.661923136159,1
fro,pm2,5.66395084131906,1
pm2,fro,5.66395084131907,1
ro4,ca5,5.66499096405701,1
ca5,ro4,5.66499096405701,1
nea,ro1,5.66599118241062,1
ro1,nea,5.66599118241064,1
ll2,dlm,5.66730840139382,1
dlm,ll2,5.66730840139383,1
ve2,pr2,5.66743727528824,1
pr2,ve2,5.66743727528826,1
pcd,pr1,5.66769678511121,1
pr1,pcd,5.66769678511122,1
ve2,ca3,5.66806625803252,1
ca3,ve2,5.66806625803253,1
ll1,fro,5.6687527293391,1
fro,ll1,5.66875272933911,1
ito,ca1,5.66889251940227,1
ca1,ito,5.66889251940227,1
nea,li2,5.66921187417962,1
li2,nea,5.66921187417963,1
sc2,ll2,5.67133322080399,1
ll2,sc2,5.67133322080399,1
ro4,ca3,5.67317210537639,1
ca3,ro4,5.6731721053764,1
src,ca6,5.67387968845048,1
ca6,src,5.67387968845048,1
ca1,ro2,5.67422646580104,1
ro2,ca1,5.67422646580105,1
sc4,lm1,5.67503065248279,1
lm1,sc4,5.6750306524828,1
fra,pm3,5.6751907979782,1
pm3,fra,5.67519079797821,1
ve3,por,5.67548892493966,1
por,ve3,5.67548892493968,1
fra,pm2,5.67818475799106,1
pm2,fra,5.67818475799107,1
sc3,ca6,5.67853718495199,1
ca6,sc3,5.678537184952,1
ca1,spa,5.67906054629672,1
spa,ca1,5.67906054629673,1
sc3,lm1,5.68055039666504,1
lm1,sc3,5.68055039666504,1
src,ca5,5.68222707443231,1
ca5,src,5.68222707443231,1
pm1,ca2,5.68229518704773,1
ca2,pm1,5.68229518704774,1
pm2,ca2,5.68305602702091,1
ca2,pm2,5.68305602702091,1
li2,ca6,5.68308643158011,1
ca6,li2,5.68308643158011,1
pr2,lm1,5.68470737641824,1
lm1,pr2,5.68470737641826,1
ve1,sro,5.68566263991439,1
sro,ve1,5.68566263991439,1
li2,ca2,5.68696322948203,1
ca2,li2,5.68696322948203,1
lat,ve1,5.68884184222932,1
ve1,lat,5.68884184222933,1
glg,fro,5.68901144085121,1
fro,glg,5.68901144085122,1
eg3,pr2,5.68932407287068,1
pr2,eg3,5.68932407287069,1
ro3,pm5,5.6893748287117,1
pm5,ro3,5.6893748287117,1
sc2,lm1,5.69119101553944,1
lm1,sc2,5.69119101553944,1
pm2,ast,5.69224911158146,1
ast,pm2,5.69224911158147,1
ca4,ro3,5.6925218743405,1
ro3,ca4,5.69252187434051,1
fro,eg3,5.69293279233822,1
eg3,fro,5.69293279233822,1
qbb,eg2,5.69306291664539,1
eg2,qbb,5.6930629166454,1
ro4,pm5,5.69311760931051,1
pm5,ro4,5.69311760931052,1
pm4,win,5.69616445529006,1
pm3,ca1,5.69819859494393,1
ca1,pm3,5.69819859494393,1
ro3,ca5,5.69865110345674,1
ca5,ro3,5.69865110345674,1
sc3,ca4,5.70030993587928,1
ca4,sc3,5.70030993587929,1
lat,ve2,5.70036895821195,1
ve2,lat,5.70036895821196,1
nea,fro,5.70061241330334,1
fro,nea,5.70061241330334,1
itg,ca1,5.70158462733185,1
ca1,itg,5.70158462733186,1
ve2,ro2,5.70197146339017,1
ro2,ve2,5.70197146339019,1
pcd,pm1,5.70231229893373,1
pm1,pcd,5.70231229893375,1
pcd,pm2,5.70347653416908,1
pm2,pcd,5.70347653416909,1
ita,ro3,5.70404533189744,1
ro3,ita,5.70404533189746,1
sc3,pr1,5.70445008378969,1
pr1,sc3,5.7044500837897,1
pcd,pm3,5.70542768226877,1
pm3,pcd,5.70542768226879,1
ito,ro2,5.70547926778614,1
ro2,ito,5.70547926778615,1
ron,itg,5.70573856179601,1
itg,ron,5.70573856179601,1
qbb,ve2,5.70703775761625,1
ve2,qbb,5.70703775761626,1
itg,ro1,5.7075000706818,1
ro1,itg,5.70750007068181,1
qbb,sro,5.70792524014363,1
sro,qbb,5.70792524014364,1
sc3,por,5.71024396449993,1
por,sc3,5.71024396449993,1
glg,ca3,5.71115387509378,1
ca3,glg,5.71115387509378,1
fur,spa,5.71117529516926,1
spa,fur,5.71117529516927,1
sc2,ca6,5.71124835343136,1
ca6,sc2,5.71124835343137,1
qbb,glg,5.71227366070409,1
glg,qbb,5.71227366070411,1
fro,eg2,5.71237947219453,1
eg2,fro,5.71237947219453,1
lm2,ast,5.71249119749454,1
ast,lm2,5.71249119749454,1
li1,ro4,5.7128033222368,1
ro4,li1,5.71280332223682,1
src,eg1,5.71304127811629,1
eg1,src,5.71304127811629,1
src,pm2,5.71412360889528,1
pm2,src,5.71412360889528,1
ca4,por,5.71444282002934,1
por,ca4,5.71444282002935,1
sc4,ll2,5.71474182043217,1
ll2,sc4,5.71474182043217,1
src,pr1,5.71492289384583,1
pr1,src,5.71492289384583,1
por,ita,5.7150802899499,1
ita,por,5.7150802899499,1
qbb,ve3,5.71515294756277,1
ve3,qbb,5.71515294756278,1
ro1,ca3,5.71779403819086,1
ca3,ro1,5.71779403819086,1
lm2,ca6,5.72097113299874,1
ca6,lm2,5.72097113299874,1
sc1,pm5,5.72144979566226,1
pm5,sc1,5.72144979566228,1
ca1,pm4,5.72153551195588,1
ve3,sro,5.72266201931727,1
sro,ve3,5.72266201931728,1
nea,ro4,5.72310633171255,1
ro4,nea,5.72310633171257,1
dlm,ca4,5.7231737719009,1
ca4,dlm,5.72317377190091,1
pr1,spa,5.72362047678248,1
spa,pr1,5.72362047678249,1
por,ito,5.72376698813712,1
ito,por,5.72376698813713,1
sc1,glg,5.72380576226692,1
glg,sc1,5.72380576226693,1
li1,ro2,5.72491733459921,1
ro2,li1,5.72491733459922,1
ro2,pm5,5.72570370837322,1
pm5,ro2,5.72570370837323,1
ita,ca1,5.72643749304828,1
ca1,ita,5.72643749304828,1
sc4,ca5,5.73023553765328,1
ca5,sc4,5.7302355376533,1
fur,sc1,5.73045422652877,1
sc1,fur,5.73045422652878,1
lm2,dlm,5.7309403756635,1
dlm,lm2,5.7309403756635,1
lat,sro,5.73103706676764,1
sro,lat,5.73103706676766,1
pm1,ast,5.73141050314299,1
ast,pm1,5.73141050314299,1
pcd,pm4,5.73437034640343,1
sro,glg,5.73558582121221,1
glg,sro,5.73558582121221,1
sc2,pr1,5.73732242057165,1
pr1,sc2,5.73732242057166,1
pm4,sro,5.73847968441614,1
ast,ca1,5.74014421471431,1
ca1,ast,5.74014421471432,1
nea,li3,5.7404022168069,1
li3,nea,5.74040221680691,1
eg4,sro,5.74085481881141,1
sro,eg4,5.74085481881142,1
sc2,ca4,5.74201642582203,1
ca4,sc2,5.74201642582204,1
ro4,ca6,5.74241912140828,1
ca6,ro4,5.74241912140828,1
sc1,spa,5.74280156672809,1
spa,sc1,5.7428015667281,1
pm4,spa,5.74473592255733,1
por,ca6,5.74804620456642,1
ca6,por,5.74804620456642,1
ito,ca3,5.74813719411052,1
ca3,ito,5.74813719411052,1
por,ca5,5.74829583694255,1
ca5,por,5.74829583694255,1
nea,ro3,5.74921583337105,1
ro3,nea,5.74921583337106,1
eg1,pr1,5.74959290587934,1
pr1,eg1,5.74959290587935,1
ca5,ro1,5.74970316524982,1
ro1,ca5,5.74970316524983,1
eg1,dlm,5.74988807139519,1
dlm,eg1,5.74988807139519,1
ast,pm5,5.7503652398746,1
ve2,por,5.75116225091332,1
por,ve2,5.75116225091334,1
ve3,ca3,5.75124987336627,1
ca3,ve3,5.75124987336628,1
ca4,ro1,5.75165715674743,1
ro1,ca4,5.75165715674744,1
ll1,itf,5.75348455626392,1
itf,ll1,5.75348455626393,1
ve1,ll1,5.75425710849736,1
ll1,ve1,5.75425710849737,1
li3,pr2,5.7562792632821,1
pr2,li3,5.75627926328213,1
li1,pr2,5.7563435810164,1
pr2,li1,5.75634358101642,1
ve1,qbb,5.75793996907234,1
qbb,ve1,5.75793996907234,1
ita,ro2,5.75825734496268,1
ro2,ita,5.7582573449627,1
nea,eg1,5.75853966780887,1
eg1,nea,5.75853966780887,1
pm3,ca3,5.75936922681889,1
ca3,pm3,5.7593692268189,1
pr2,glg,5.75942485953519,1
glg,pr2,5.75942485953519,1
ro3,ca6,5.75969436464625,1
ca6,ro3,5.75969436464625,1
eg1,ca1,5.76102661892486,1
ca1,eg1,5.76102661892488,1
fur,pr2,5.76179148339966,1
pr2,fur,5.76179148339967,1
sro,eg2,5.76312820229031,1
eg2,sro,5.76312820229032,1
sro,eg3,5.76341946658368,1
eg3,sro,5.76341946658368,1
lm2,ca2,5.76367343994238,1
ca2,lm2,5.76367343994238,1
lat,eg4,5.76431209802489,1
eg4,lat,5.76431209802491,1
pm2,ca3,5.76443575302867,1
ca3,pm2,5.76443575302867,1
sc4,spa,5.76492937467356,1
spa,sc4,5.76492937467357,1
pm1,fro,5.76545911594363,1
fro,pm1,5.76545911594363,1
nea,fur,5.76579922018843,1
fur,nea,5.76579922018843,1
ito,pr2,5.76635020462344,1
pr2,ito,5.76635020462345,1
ve1,ca3,5.76723569452296,1
ca3,ve1,5.76723569452297,1
fur,ca3,5.7684336769139,1
ca3,fur,5.7684336769139,1
fra,pm4,5.7687810301953,1
li3,sro,5.77004740636378,1
sro,li3,5.77004740636379,1
spa,sc2,5.7747617413923,1
sc2,spa,5.7747617413923,1
pm2,ca1,5.7785564058799,1
ca1,pm2,5.7785564058799,1
ast,lm1,5.77982412607827,1
lm1,ast,5.77982412607828,1
ve1,fro,5.78084878997956,1
fro,ve1,5.78084878997957,1
sc4,ca6,5.78590761436037,1
ca6,sc4,5.78590761436039,1
nea,pm1,5.78706233731068,1
pm1,nea,5.78706233731069,1
sc1,lm2,5.78854763456701,1
lm2,sc1,5.78854763456701,1
por,sc2,5.78895663902024,1
sc2,por,5.78895663902025,1
por,li1,5.78941790925187,1
li1,por,5.78941790925187,1
por,itf,5.79006599568369,1
itf,por,5.7900659956837,1
pr1,ll1,5.7901774359773,1
ll1,pr1,5.7901774359773,1
src,nea,5.79029011955853,1
nea,src,5.79029011955853,1
ve1,por,5.79135357259295,1
por,ve1,5.79135357259296,1
eg1,ro4,5.79181476382988,1
ro4,eg1,5.7918147638299,1
li1,ca1,5.79215483618049,1
ca1,li1,5.79215483618049,1
itg,ca3,5.79467527875131,1
ca3,itg,5.79467527875133,1
sc4,ca4,5.79699395374095,1
ca4,sc4,5.79699395374096,1
ve1,ro4,5.80186599518783,1
ro4,ve1,5.80186599518783,1
li3,ca5,5.80237688085881,1
ca5,li3,5.80237688085883,1
eg1,ast,5.80284756289807,1
ast,eg1,5.80284756289808,1
itg,ro4,5.80285849053474,1
ro4,itg,5.80285849053476,1
win,pm3,5.80454628173685,1
pm3,win,5.80454628173685,1
ro3,ca3,5.80474574045339,1
ca3,ro3,5.80474574045339,1
ca4,ro2,5.80633858410132,1
ro2,ca4,5.80633858410133,1
pm5,dlm,5.80793688409635,1
dlm,pm5,5.80793688409635,1
ca3,pm4,5.80794131955776,1
win,pr1,5.80819206350477,1
pr1,win,5.80819206350477,1
ro1,li2,5.80819593380705,1
li2,ro1,5.80819593380705,1
itf,ca1,5.81021225569059,1
ca1,itf,5.81021225569059,1
rup,ita,5.81050256524894,1
ita,rup,5.81050256524895,1
pm1,win,5.81132415626931,1
win,pm1,5.81132415626932,1
nea,pm5,5.81525568273708,1
pm5,nea,5.8152556827371,1
itg,ll1,5.81748066358885,1
ll1,itg,5.81748066358886,1
sc1,dlm,5.81804994411645,1
dlm,sc1,5.81804994411645,1
pr2,lm2,5.81923537497232,1
lm2,pr2,5.81923537497232,1
ron,itf,5.81942776033735,1
itf,ron,5.81942776033735,1
ito,ro3,5.81953473627832,1
ro3,ito,5.81953473627834,1
li3,ca2,5.82005454596612,1
ca2,li3,5.82005454596612,1
eg1,ro1,5.82193831774585,1
ro1,eg1,5.82193831774586,1
itf,ca3,5.8221811752201,1
ca3,itf,5.8221811752201,1
spa,pm4,5.82346312396731,1
ca6,ro1,5.82433728869274,1
ro1,ca6,5.82433728869275,1
ro4,glg,5.82456522498517,1
glg,ro4,5.82456522498517,1
win,pm2,5.82476892590829,1
pm2,win,5.82476892590829,1
ro2,ca5,5.82633424086348,1
ca5,ro2,5.82633424086348,1
lm1,ca1,5.82659209539815,1
ca1,lm1,5.82659209539815,1
nea,ro2,5.82771385742974,1
ro2,nea,5.82771385742975,1
sc4,pr1,5.82786923163418,1
pr1,sc4,5.82786923163419,1
dlm,ca5,5.82909099631127,1
ca5,dlm,5.82909099631127,1
ll2,sc1,5.82967394087091,1
sc1,ll2,5.82967394087092,1
itg,ro3,5.83097088478116,1
ro3,itg,5.83097088478118,1
spa,lm1,5.83118511531866,1
lm1,spa,5.83118511531866,1
sc3,ca1,5.83296123896205,1
ca1,sc3,5.83296123896205,1
dlm,sc3,5.83306072842921,1
sc3,dlm,5.83306072842922,1
sc3,ro1,5.83450148180498,1
ro1,sc3,5.83450148180498,1
eg2,pr2,5.8357434893127,1
