,av1,av2,bcc,bgn,bgp,bql,ckb,diq,fay,glk,gzi,hac,jdt,kfm,kiu,kmr,lrl,lsa,luz,mnj,ntz,oru,os1,os2,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,pb1,pb2,pb3,pb4,pb5,pb6,pb7,pb8,pb9,pes,prc,prs,ps1,ps2,ps3,ps4,ps5,pt1,pt2,pt3,pt4,pt5,sdh,sgh,siy,sqo,srz,tgk,tly,vaf,wb1,wb2,wb3,wb5,wne,yah,yai,ydg,zum
p13,0.125109096374522,0.16862997519281,0.15880645511719,0.13152702772891,0.148543306091998,0.118958461793726,0.125864849693426,0.109876006616324,0.155073570734462,0.138790227329901,0.151102958198493,0.0997683458615685,0.100626958181596,0.169054096619829,0.183613915257716,0.123740949850726,0.129189377977633,0.134914281248165,0.173272171942299,0.154628508132046,0.122687044679926,0.221723072415696,0.111836797497115,0.133035088973479,0.550934420278688,0.696370555666142,0.523972602631237,NA,0.663482704644002,0.630459738993096,0.590212378633276,0.657460425260594,0.688793257931732,0.500995305057922,0.708441736860782,0.566904298244666,0.710580798685731,0.555464839364883,0.466801433867715,0.487483337122393,0.701985020937002,0.689256371548482,0.618873270820707,0.702090843201589,0.684728770189192,0.659031253467019,0.704766545711112,0.529095853529648,0.631650702492139,0.179515542237725,0.140239520316243,0.118446234392886,0.503905885895275,0.592537212411724,0.621130015450306,0.476262692503697,0.465777446349698,0.556357923753221,0.593732501281669,0.512107434138488,0.591239702143458,0.564774449592017,0.135014931168054,0.0947543180678505,0.173675053996328,0.134318828638572,0.145539080036272,0.162317411150785,0.16063876332561,0.156409181380083,0.0609772222308549,0.0590371808110862,0.0723879534779864,0.0759389790499174,0.513875136815167,0.12963577127038,0.109055023669762,0.156694864379257,0.110265066085735
p14,0.13080265462628,0.165452248453109,0.174319103942322,0.136759911421756,0.162759144479831,0.136086125771444,0.139116307682443,0.118927539358715,0.176294099342481,0.154094372538747,0.17076381199465,0.10083656238341,0.0972891680150015,0.19022123565526,0.18375903969717,0.123457715198614,0.144434596907653,0.15163758558689,0.1928182459147,0.162897366785474,0.145837215739759,0.230032002123586,0.12008689441152,0.130477657491808,0.537641148958899,0.676973467408341,0.526165654601639,0.663482704644002,NA,0.618535425511131,0.594166044867933,0.615002256282882,0.667949229953682,0.506343889848402,0.658807910850516,0.555027752725323,0.663415018457272,0.542702955699171,0.46779177238059,0.481575725708272,0.64227440016992,0.640873849940332,0.593269375127544,0.65469330165398,0.641738727637687,0.620893413981267,0.679051991994065,0.504466363137294,0.591654953185763,0.189649641797367,0.170908644549974,0.126741392947647,0.481479556160591,0.569900761899604,0.590588118880745,0.459886652105719,0.464495875498362,0.554084405372635,0.570510790605959,0.499928033710389,0.562062602480302,0.539864411033856,0.141641672038958,0.0956263822746181,0.169738811738737,0.167445472872313,0.149789565826139,0.175280009801177,0.163533747240499,0.151261119386523,0.0660153532512513,0.0651128564333827,0.070306602841,0.0748072032721611,0.515179469827307,0.142824344480186,0.112572192931639,0.181142528766498,0.124646446076896
p15,0.149879853141786,0.19014126977747,0.163099233522559,0.145013821346974,0.150364253548325,0.116436960370824,0.115980204700841,0.0769044478156918,0.147298991332824,0.134280583991543,0.136023749526189,0.108930142468037,0.0780103839704285,0.17326033426784,0.166790122574053,0.0996054919297065,0.143316577232503,0.124777822565218,0.182850503102612,0.160783795066777,0.114637632779089,0.214983042035727,0.105912085581307,0.127449967308435,0.559905920855606,0.655320588886324,0.581285643508728,0.630459738993096,0.618535425511131,NA,0.599594747544909,0.640208161453235,0.689715190913378,0.518740835890127,0.646953640943887,0.594204498087961,0.66931672277672,0.56340175607835,0.486792771017641,0.539550404726744,0.647095933846173,0.695696030077126,0.67084151192819,0.654895776037331,0.654716678160048,0.622461947428506,0.684859363706706,0.499821275523725,0.629391187899104,0.173691129201949,0.124067027876579,0.097478797789903,0.542118731872569,0.610855417582196,0.600079052638067,0.5246106721527,0.514902243737632,0.563651318193541,0.594070485792828,0.50026703187332,0.557193053797505,0.551619262434062,0.13560089708671,0.0817740179536981,0.160610922052615,0.123590748557402,0.126218896262288,0.16275167941284,0.151939248131139,0.142141788744436,0.0359103419416295,0.0360305994555019,0.050240502649845,0.0512500849373969,0.513030003364684,0.128723019016996,0.084781693259216,0.160162554047493,0.116224351581141
p16,0.160799569208148,0.189413996237037,0.184006951316748,0.143010253747237,0.175032264375431,0.118190018229194,0.121739631146822,0.0886437787383637,0.157594072072344,0.13287183682266,0.119649950365103,0.114971930126115,0.0787409145186122,0.134555382962393,0.172038078430095,0.117037839392961,0.139575115271658,0.123875041255637,0.191057519028217,0.157334458404479,0.116635605815599,0.242132409798551,0.100901007857012,0.124823288843326,0.629526695712084,0.614020407237904,0.60871464798876,0.590212378633276,0.594166044867933,0.599594747544909,NA,0.619268196343667,0.630862550074359,0.528466285976216,0.618158201253323,0.694101281028938,0.642831948003596,0.537765944318829,0.552741738022701,0.538474692979535,0.598017522115923,0.582185336067695,0.605331760198062,0.613476183211267,0.605547121425785,0.590387040048805,0.653531723601761,0.512213206705618,0.555570908089304,0.171340073190707,0.136885326185418,0.0871338301353086,0.526292779382722,0.641375587802188,0.698949542329746,0.523507828652336,0.509914860028345,0.60924519178308,0.636990349869494,0.53189351407158,0.598495271531423,0.593860030105708,0.144142908851221,0.0720036700869615,0.160836474552304,0.133454596180233,0.142548660548911,0.162607823524313,0.162351054829306,0.13646483485734,0.037747882229348,0.0375755527879879,0.046204822524983,0.051308623833369,0.544610196536436,0.127306312405482,0.0875509503016306,0.165254028806071,0.105602463863806
p17,0.128799343750382,0.170600364981233,0.151760356268846,0.139506314706607,0.139041934447286,0.107780523589504,0.124884246591236,0.0813067788808652,0.141021412413288,0.13230990013647,0.112264738012267,0.103470749535115,0.076920352566067,0.144529936014216,0.189798813020613,0.0987643807384577,0.131273008455103,0.128513158856345,0.160430998499524,0.14875558130929,0.115065279746813,0.206273827183254,0.0986885063216623,0.133502040914895,0.548657669562936,0.674444004670378,0.551506349071523,0.657460425260594,0.615002256282882,0.640208161453235,0.619268196343667,NA,0.68864611083217,0.465349635933572,0.70059816310715,0.557476645812053,0.70440195058793,0.517956493610006,0.458422772871633,0.447827322628352,0.69062072104218,0.679337745765507,0.6042104199675,0.69282299642047,0.718464040063336,0.641538672438317,0.688606317284828,0.519071403851391,0.63512987566809,0.15994319399759,0.132339128314341,0.0974220441088572,0.501389992044635,0.642852838421494,0.660553975018165,0.469682582814373,0.474759957053468,0.522417379955252,0.580961027570527,0.486149779361791,0.555215465552123,0.536252904578637,0.13041051106278,0.0676686655760358,0.153497879260803,0.13002103754997,0.141148596345452,0.153761989636683,0.129251710054821,0.154648791894001,0.0564704737053195,0.0546502525287567,0.0499069414361286,0.0551187862881892,0.478753343293473,0.13217309868455,0.0852050995036047,0.150034690643191,0.11894722209008
p18,0.122254301499249,0.169181718081013,0.157566894175292,0.139184019071907,0.147409515940033,0.115151329750044,0.123456370442876,0.0992543307572817,0.150375242292029,0.129122559588377,0.135052556809159,0.0931569036135068,0.0889862224300444,0.181931683839987,0.18598354949209,0.11776828698867,0.130581352656552,0.123057978314665,0.169749559689824,0.164483174004563,0.105331116754017,0.236440061861214,0.110792494199911,0.132598194377835,0.597764341999794,0.704795212418444,0.561125419939739,0.688793257931732,0.667949229953682,0.689715190913378,0.630862550074359,0.68864611083217,NA,0.544095075757486,0.702160862068538,0.616132981906227,0.755331031558453,0.592008392995751,0.49654369467234,0.526892202027011,0.792554682942799,0.70757799912505,0.665378696005097,0.787042342427842,0.715896988629959,0.69987984267113,0.792412677380353,0.541100536264306,0.636807825345452,0.171814875249681,0.133325440528085,0.103722170868004,0.542177383495222,0.67148149252332,0.680546938963577,0.510703238227647,0.537433246366838,0.606575480853118,0.636112893507328,0.574884167143803,0.624632360120735,0.59703578589852,0.129841546538852,0.0861136787817284,0.167500458761226,0.12922129888196,0.122026073692098,0.151718549174166,0.173679386458038,0.157387886047962,0.0510149376397295,0.0501457001040834,0.0647249547938833,0.0676221756670313,0.543563990783358,0.129942195499519,0.0956687753574281,0.158938234910199,0.107751939345272
p19,0.110068235022544,0.109415634716239,0.148558169109366,0.120127229211365,0.151762984260155,0.137458050709404,0.125382236783006,0.126112221592768,0.160663076853638,0.118133327189216,0.155399701823766,0.0937293961180744,0.118026184512144,0.154635111394421,0.201077084573705,0.11678251375957,0.135342180442645,0.145893343273662,0.172618885587198,0.222499932473941,0.118804114406276,0.235898883556526,0.099834323270394,0.130169638012407,0.540270338894406,0.505873164483178,0.515062367683162,0.500995305057922,0.506343889848402,0.518740835890127,0.528466285976216,0.465349635933572,0.544095075757486,NA,0.519601439184367,0.565832485870447,0.547575568614431,0.635436922848292,0.538134756872534,0.605616828706578,0.50955393312703,0.521801527759727,0.545436367761136,0.523315009425521,0.525881311449109,0.542135314141291,0.606968436348976,0.580210103606615,0.480486213017588,0.179957046816471,0.188391201572219,0.123391426148243,0.475622144264105,0.656862170396343,0.581455579166579,0.551326782073541,0.547522453239843,0.581079613894106,0.561804048548858,0.525048166990026,0.555507800760464,0.530756806623372,0.127816960561305,0.123769213287003,0.149513555491478,0.174813284629577,0.136878942513814,0.177938001004984,0.228262252131298,0.127643149567142,0.0735036097991457,0.0756094637649841,0.0854163971553012,0.0916943578726896,0.4712445007918,0.115132184003805,0.103772578812144,0.189846787437977,0.139467130423853
p20,0.11615372961002,0.149763646117814,0.15106903442738,0.132346136961702,0.140838231400618,0.117779309895765,0.121752258879888,0.0946888645195934,0.160639471942878,0.127296979986238,0.149070187608008,0.0891671694403597,0.105100862398037,0.164239439726213,0.188489579883722,0.120118620266111,0.119502752418913,0.127868931017177,0.167579123536774,0.175201570973276,0.115127697729651,0.21923880268598,0.107104381018149,0.134448042151456,0.592526579409269,0.703073783944178,0.563015496395076,0.708441736860782,0.658807910850516,0.646953640943887,0.618158201253323,0.70059816310715,0.702160862068538,0.519601439184367,NA,0.581760192586562,0.741612672934066,0.594739364255045,0.506389835971671,0.502475223864941,0.695290160614025,0.693861147172201,0.618263115480694,0.708189919431182,0.738810587230788,0.670279653645145,0.741260692074831,0.54969848041255,0.657382117134941,0.180063034960733,0.138256180464174,0.110664679467438,0.541291097544561,0.693587083937943,0.726228250247176,0.524641174443239,0.516781892429515,0.598791198390697,0.631093174055995,0.561844519400079,0.614067198777108,0.576383950427414,0.133275625247774,0.0850584506709908,0.167792620654368,0.134069982676105,0.131622135216081,0.157512832450868,0.182232444892085,0.149410156810743,0.0664612176007118,0.065117579078338,0.060407614745334,0.065280217495152,0.529378630060548,0.124300048772442,0.103922920319827,0.169343986177952,0.105629043210949
p21,0.137249051567941,0.164341710944549,0.143071052874227,0.149364842368595,0.142567721780203,0.121427048104048,0.107574183151643,0.0798349334778774,0.14060465430368,0.135442887419457,0.135596806311178,0.106444568163435,0.0826062774894698,0.147319696222401,0.178653896930932,0.0900736572118962,0.152713763842957,0.129123681276427,0.180198816665682,0.160452762241789,0.116976917550326,0.247211190884791,0.0888351827003859,0.116865912935217,0.664169483549239,0.578278008489677,0.660598226101544,0.566904298244666,0.555027752725323,0.594204498087961,0.694101281028938,0.557476645812053,0.616132981906227,0.565832485870447,0.581760192586562,NA,0.651375735364017,0.570081240344939,0.562107769302263,0.628393912823628,0.585282793098171,0.562353436119863,0.671082481725847,0.601837320941219,0.589158032191933,0.592913416374188,0.657090911590532,0.610084394099152,0.535125136587362,0.166539075985502,0.113680220944089,0.0757959966849293,0.522618647832395,0.65906459457779,0.724638367445044,0.568666111844582,0.55819106627218,0.600238235782556,0.628518446301622,0.546184720567796,0.598170464950246,0.588354012197263,0.151919131972749,0.0703654841804183,0.139619994671125,0.12882742205931,0.150049418357443,0.157305094705937,0.16771886545369,0.140092542378222,0.0236025099309668,0.0224853740816132,0.0445264047041919,0.0447491347541735,0.518523559333546,0.106262947722048,0.0693335409007976,0.168990277555773,0.096851987237852
p22,0.107825647974631,0.137854311498922,0.135465666602773,0.122275079211291,0.130830693718159,0.120331224626477,0.112796324529213,0.0837142088491403,0.146984120368121,0.122005671063635,0.125470318232647,0.0704537317440151,0.0982494185350865,0.156720557513031,0.195377397945946,0.115628406400894,0.117236758824824,0.120143461704261,0.167803580437092,0.174442149249297,0.110898433188334,0.235008384603563,0.0999207784679208,0.123037556087348,0.623747480981311,0.729587964861723,0.554186076573922,0.710580798685731,0.663415018457272,0.66931672277672,0.642831948003596,0.70440195058793,0.755331031558453,0.547575568614431,0.741612672934066,0.651375735364017,NA,0.631231651035682,0.517658747216578,0.541803150749567,0.749933658630732,0.714131270168057,0.666403987028503,0.77329871305915,0.761547895548674,0.715763416768451,0.828947144406345,0.595137768418286,0.637121947295486,0.173573135149006,0.130163851843018,0.101826442482422,0.524116106732227,0.719423470103557,0.74395215344482,0.53194673516636,0.536910930738772,0.628578875931308,0.682759297841102,0.595713043325423,0.666639536907425,0.614722919772383,0.125511412069894,0.0916203257508638,0.158521250063999,0.121391387811476,0.140919332901587,0.146422116227781,0.182607169394352,0.144794894733966,0.0539809202004945,0.0531003859579909,0.0698199932468666,0.0736230609747397,0.553343690147162,0.125353118430473,0.0961795939432518,0.162596035167179,0.0994489754042137
