L1,L2,Score,cluster_number
ps1,ps4,0.260063953182517,2
pb4,pb3,0.260541839632948,2
pb3,pb4,0.260541839632948,2
pt4,p22,0.263952569169961,2
p22,pt4,0.263952569169961,2
pb5,p10,0.266140994613163,2
p10,pb5,0.266140994613163,2
p17,p15,0.266151887296176,2
p15,p17,0.266151887296176,2
pt1,ps3,0.26705944849568,2
ps3,pt1,0.26705944849568,2
p22,p16,0.267196556761597,2
p16,p22,0.267196556761597,2
p23,p19,0.267277315702108,2
p19,p23,0.267277315702108,2
p16,p11,0.267592448119832,2
p11,p16,0.267592448119832,2
pt3,ps3,0.271832639212725,2
ps3,pt3,0.271832639212725,2
p16,p10,0.272012183633738,2
p10,p16,0.272012183633738,2
ps3,p20,0.272717173961344,2
p20,ps3,0.272717173961344,2
pb9,pb3,0.272961916278615,2
pb3,pb9,0.272961916278615,2
pb9,p15,0.273207412049057,2
p15,pb9,0.273207412049057,2
pb3,p18,0.277547509189021,2
p18,pb3,0.277547509189021,2
pb9,p17,0.278288050292459,2
p17,pb9,0.278288050292459,2
ps3,pb5,0.279138721083258,2
pb5,ps3,0.279138721083258,2
p22,p21,0.279172439953428,2
p21,p22,0.279172439953428,2
pb6,pb3,0.2795074566456,2
pb3,pb6,0.2795074566456,2
pt2,p22,0.279752314156637,2
p22,pt2,0.279752314156637,2
ps2,p10,0.280051665716108,2
p10,ps2,0.280051665716108,2
pb9,p14,0.280776751309814,2
p14,pb9,0.280776751309814,2
ps2,pb6,0.281457777188242,2
pb6,ps2,0.281457777188242,2
pb3,pb1,0.281748256103638,2
pb1,pb3,0.281748256103638,2
ps5,ps2,0.281907194550875,2
ps2,ps5,0.281907194550875,2
p22,p10,0.282089879888357,2
p10,p22,0.282089879888357,2
p20,p16,0.282620262276612,2
p16,p20,0.282620262276612,2
p12,p10,0.282671300094923,2
p10,p12,0.282671300094923,2
pt5,p11,0.282838191330344,2
p11,pt5,0.282838191330344,2
pt4,p13,0.283195360366681,2
p13,pt4,0.283195360366681,2
ps3,pb6,0.283309494993949,2
pb6,ps3,0.283309494993949,2
ps3,p22,0.284183722494476,2
p22,ps3,0.284183722494476,2
pb3,p21,0.28424293516109,2
p21,pb3,0.28424293516109,2
ps3,pb7,0.284553522171706,2
pb7,ps3,0.284553522171706,2
ps2,p19,0.284772239675122,2
p19,ps2,0.284772239675122,2
p25,p12,0.284984118282518,2
p12,p25,0.284984118282518,2
pb6,p15,0.285050082691049,2
p15,pb6,0.285050082691049,2
pt5,pb7,0.28605306234756,2
pb7,pt5,0.28605306234756,2
ps2,p24,0.286167195060906,2
p24,ps2,0.286167195060906,2
pt4,ps2,0.286235679767498,2
ps2,pt4,0.286235679767498,2
pt5,ps2,0.286600057286315,2
ps2,pt5,0.286600057286315,2
p16,p14,0.287399870101755,2
p14,p16,0.287399870101755,2
pb9,p18,0.28751743808923,2
p18,pb9,0.28751743808923,2
pt4,pb6,0.28775634138366,2
pb6,pt4,0.28775634138366,2
pb8,p21,0.287919880818898,2
p21,pb8,0.287919880818898,2
pb3,p20,0.288113089659482,2
p20,pb3,0.288113089659482,2
ps4,ps3,0.289008581995764,2
ps3,ps4,0.289008581995764,2
p20,p10,0.289080064951288,2
p10,p20,0.289080064951288,2
pb3,p11,0.289179685068776,2
p11,pb3,0.289179685068776,2
pt4,pb4,0.28941505052407,2
