L1,L2,Score,cluster_number,distance_Scores
gzi,ps4,4.66210084065174,2,0.154602525093186
ps4,gzi,4.66210084065174,2,0.154602525093186
bql,yah,4.66225387496709,2,0.154614352124986
yah,bql,4.66225387496709,2,0.154614352124986
mnj,p13,4.66243704475011,2,0.154628508132046
p13,mnj,4.66243704475011,2,0.154628508132046
kfm,p19,4.66252248679118,2,0.154635111394421
p19,kfm,4.66252248679118,2,0.154635111394421
prs,wb5,4.66267265814047,2,0.154646717166103
wb5,prs,4.66267265814047,2,0.154646717166103
p17,vaf,4.66269950380798,2,0.154648791894001
vaf,p17,4.66269950380798,2,0.154648791894001
bcc,oru,4.6640267098512,2,0.15475136305944
oru,bcc,4.6640267098512,2,0.15475136305944
glk,os1,4.66437688943645,2,0.154778426173231
os1,glk,4.66437688943645,2,0.154778426173231
pes,wb3,4.66699512685406,2,0.154980772798078
wb3,pes,4.66699512685406,2,0.154980772798078
ntz,os2,4.66716015680889,2,0.154993526895218
os2,ntz,4.66716015680889,2,0.154993526895218
fay,p13,4.66819587349118,2,0.155073570734462
p13,fay,4.66819587349118,2,0.155073570734462
jdt,wb2,4.66820830343263,2,0.15507453136419
wb2,jdt,4.66820830343263,2,0.15507453136419
fay,pb3,4.66828735843087,2,0.155080641013362
pb3,fay,4.66828735843087,2,0.155080641013362
jdt,wb5,4.66948064503657,2,0.155172862412199
wb5,jdt,4.66948064503657,2,0.155172862412199
av2,pb4,4.66992020134209,2,0.155206832874256
pb4,av2,4.66992020134209,2,0.155206832874256
pb6,sqo,4.67106725103644,2,0.155295480921459
sqo,pb6,4.67106725103644,2,0.155295480921459
lsa,pb6,4.67139747838105,2,0.155321002055701
pb6,lsa,4.67139747838105,2,0.155321002055701
gzi,oru,4.67155066351837,2,0.155332840743554
oru,gzi,4.67155066351837,2,0.155332840743554
gzi,p19,4.6724158036319,2,0.155399701823766
p19,gzi,4.6724158036319,2,0.155399701823766
pes,ps5,4.6728221993344,2,0.155431109517431
ps5,pes,4.6728221993344,2,0.155431109517431
mnj,yah,4.67425226055396,2,0.155541629693774
yah,mnj,4.67425226055396,2,0.155541629693774
jdt,wb3,4.67530839903348,2,0.155623251801557
wb3,jdt,4.67530839903348,2,0.155623251801557
gzi,pt3,4.67603582691597,2,0.155679469994701
pt3,gzi,4.67603582691597,2,0.155679469994701
p11,tly,4.67605150707203,2,0.155680681812481
tly,p11,4.67605150707203,2,0.155680681812481
bgn,pb2,4.67783062886315,2,0.15581817862129
pb2,bgn,4.67783062886315,2,0.15581817862129
sqo,wb5,4.68063054640837,2,0.156034566127371
wb5,sqo,4.68063054640837,2,0.156034566127371
gzi,pb3,4.68227175328601,2,0.156161404385098
pb3,gzi,4.68227175328601,2,0.156161404385098
fay,pb9,4.68343814300461,2,0.156251547097606
pb9,fay,4.68343814300461,2,0.156251547097606
kiu,kmr,4.6835536814684,2,0.156260476317711
kmr,kiu,4.6835536814684,2,0.156260476317711
av1,ntz,4.68403904677501,2,0.156297987060988
ntz,av1,4.68403904677501,2,0.156297987060988
bql,pt2,4.68506055558236,2,0.156376932865531
pt2,bql,4.68506055558236,2,0.156376932865531
p13,vaf,4.68547783097565,2,0.156409181380083
vaf,p13,4.68547783097565,2,0.156409181380083
bcc,tly,4.6855039530522,2,0.156411200186318
tly,bcc,4.6855039530522,2,0.156411200186318
bql,kmr,4.68640734863488,2,0.156481017784153
kmr,bql,4.68640734863488,2,0.156481017784153
p11,tgk,4.68665720138436,2,0.15650032728612
tgk,p11,4.68665720138436,2,0.15650032728612
mnj,p11,4.68770668565115,2,0.156581435132866
p11,mnj,4.68770668565115,2,0.156581435132866
jdt,wb1,4.68895722873552,2,0.156678081514377
wb1,jdt,4.68895722873552,2,0.156678081514377
p13,ydg,4.68917438839823,2,0.156694864379257
ydg,p13,4.68917438839823,2,0.156694864379257
kfm,p22,4.68950684130806,2,0.156720557513031
p22,kfm,4.68950684130806,2,0.156720557513031
fay,p12,4.69007788137887,2,0.156764689504349
p12,fay,4.69007788137887,2,0.156764689504349
bgp,ps1,4.69137957182524,2,0.156865288734444
ps1,bgp,4.69137957182524,2,0.156865288734444
ckb,ydg,4.69364512614506,2,0.157040378765217
ydg,ckb,4.69364512614506,2,0.157040378765217
bgn,kiu,4.69446244903742,2,0.157103544361877
kiu,bgn,4.69446244903742,2,0.157103544361877
kiu,yai,4.69494445072962,2,0.157140795153165
yai,kiu,4.69494445072962,2,0.157140795153165
pb6,srz,4.69500173240572,2,0.157145222083185
srz,pb6,4.69500173240572,2,0.157145222083185
p21,tgk,4.697070383085,2,0.157305094705937
tgk,p21,4.697070383085,2,0.157305094705937
mnj,p16,4.69745033078267,2,0.157334458404479
p16,mnj,4.69745033078267,2,0.157334458404479
pb9,sdh,4.69781422767059,2,0.157362581639815
sdh,pb9,4.69781422767059,2,0.157362581639815
p18,vaf,4.69814165071652,2,0.157387886047962
vaf,p18,4.69814165071652,2,0.157387886047962
lrl,pt1,4.69909878786681,2,0.157461856983743
pt1,lrl,4.69909878786681,2,0.157461856983743
p20,tgk,4.69975837818866,2,0.157512832450868
tgk,p20,4.69975837818866,2,0.157512832450868
bcc,p18,4.70045790272905,2,0.157566894175292
p18,bcc,4.70045790272905,2,0.157566894175292
glk,yah,4.70046492179224,2,0.157567436633258
yah,glk,4.70046492179224,2,0.157567436633258
fay,p16,4.70080956753714,2,0.157594072072344
p16,fay,4.70080956753714,2,0.157594072072344
bcc,pb3,4.70115472862834,2,0.15762074733921
pb3,bcc,4.70115472862834,2,0.15762074733921
bcc,pt4,4.70124056844087,2,0.157627381342767
pt4,bcc,4.70124056844087,2,0.157627381342767
pb3,tgk,4.70267955154909,2,0.157738591034143
tgk,pb3,4.70267955154909,2,0.157738591034143
p12,siy,4.70327146600118,2,0.15778433627129
siy,p12,4.70327146600118,2,0.15778433627129
mnj,pb3,4.70383364743535,2,0.157827783635915
pb3,mnj,4.70383364743535,2,0.157827783635915
pb9,srz,4.70901073276048,2,0.15822788705474
srz,pb9,4.70901073276048,2,0.15822788705474
kmr,tly,4.70984533277306,2,0.158292387888204
tly,kmr,4.70984533277306,2,0.158292387888204
ckb,kiu,4.71037105139603,2,0.158333017278137
kiu,ckb,4.71037105139603,2,0.158333017278137
av1,pb9,4.71049111516218,2,0.158342296229574
pb9,av1,4.71049111516218,2,0.158342296229574
bgn,pb6,4.7119838476217,2,0.158457659860446
pb6,bgn,4.7119838476217,2,0.158457659860446
ps4,sqo,4.7124767199027,2,0.158495750769189
sqo,ps4,4.7124767199027,2,0.158495750769189
p22,siy,4.71280666465885,2,0.158521250063999
siy,p22,4.71280666465885,2,0.158521250063999
kfm,oru,4.71428977315221,2,0.158635869920813
oru,kfm,4.71428977315221,2,0.158635869920813
prc,ps2,4.71453146660908,2,0.158654548843861
ps2,prc,4.71453146660908,2,0.158654548843861
lrl,ydg,4.71507101095005,2,0.158696246734058
ydg,lrl,4.71507101095005,2,0.158696246734058
jdt,sgh,4.71585468325076,2,0.158756811694275
sgh,jdt,4.71585468325076,2,0.158756811694275
bgp,yai,4.71637155037184,2,0.158796757008913
yai,bgp,4.71637155037184,2,0.158796757008913
bcc,p13,4.71649703776255,2,0.15880645511719
p13,bcc,4.71649703776255,2,0.15880645511719
p18,ydg,4.71820218498308,2,0.158938234910199
ydg,p18,4.71820218498308,2,0.158938234910199
bgp,p11,4.71970329412858,2,0.159054245920918
p11,bgp,4.71970329412858,2,0.159054245920918
mnj,pb9,4.72303683024823,2,0.159311873353052
pb9,mnj,4.72303683024823,2,0.159311873353052
os2,ps2,4.72371431450066,2,0.159364231726262
ps2,os2,4.72371431450066,2,0.159364231726262
pb4,vaf,4.72392356397681,2,0.159380403264017
vaf,pb4,4.72392356397681,2,0.159380403264017
lrl,pt5,4.72400764321104,2,0.159386901203872
pt5,lrl,4.72400764321104,2,0.159386901203872
luz,p24,4.72625798460531,2,0.159560815526088
p24,luz,4.72625798460531,2,0.159560815526088
pb1,tly,4.72784334429176,2,0.159683337715849
tly,pb1,4.72784334429176,2,0.159683337715849
gzi,pb9,4.72813228896149,2,0.159705668379331
pb9,gzi,4.72813228896149,2,0.159705668379331
lrl,p12,4.72914306737358,2,0.159783784901071
p12,lrl,4.72914306737358,2,0.159783784901071
luz,p23,4.72939735313737,2,0.159803437002024
p23,luz,4.72939735313737,2,0.159803437002024
p17,pes,4.73120572031641,2,0.15994319399759
pes,p17,4.73120572031641,2,0.15994319399759
os2,ps4,4.73242782477147,2,0.160037642541495
ps4,os2,4.73242782477147,2,0.160037642541495
av2,pb3,4.73266815720365,2,0.160056216279753
pb3,av2,4.73266815720365,2,0.160056216279753
p15,ydg,4.73404410069968,2,0.160162554047493
ydg,p15,4.73404410069968,2,0.160162554047493
os1,prs,4.73472817517624,2,0.160215421736475
prs,os1,4.73472817517624,2,0.160215421736475
bgp,bql,4.73479310609679,2,0.160220439827093
bql,bgp,4.73479310609679,2,0.160220439827093
bql,mnj,4.73544511659843,2,0.160270829498971
mnj,bql,4.73544511659843,2,0.160270829498971
kiu,ps1,4.73696732228838,2,0.160388470925074
ps1,kiu,4.73696732228838,2,0.160388470925074
kiu,os1,4.73706631355448,2,0.160396121319362
os1,kiu,4.73706631355448,2,0.160396121319362
luz,p17,4.73751760221912,2,0.160430998499524
p17,luz,4.73751760221912,2,0.160430998499524
mnj,p21,4.73779921128667,2,0.160452762241789
p21,mnj,4.73779921128667,2,0.160452762241789
av1,siy,4.73829249412214,2,0.160490884879629
siy,av1,4.73829249412214,2,0.160490884879629
gzi,pb2,4.73977981603417,2,0.160605830364304
pb2,gzi,4.73977981603417,2,0.160605830364304
p15,siy,4.73984569926235,2,0.160610922052615
siy,p15,4.73984569926235,2,0.160610922052615
ckb,diq,4.74009519714391,2,0.160630204129138
diq,ckb,4.74009519714391,2,0.160630204129138
p13,tly,4.7402059477358,2,0.16063876332561
tly,p13,4.7402059477358,2,0.16063876332561
fay,p20,4.74021511679531,2,0.160639471942878
p20,fay,4.74021511679531,2,0.160639471942878
fay,p19,4.74052054941935,2,0.160663076853638
p19,fay,4.74052054941935,2,0.160663076853638
pb5,tgk,4.7413714334491,2,0.1607288361734
tgk,pb5,4.7413714334491,2,0.1607288361734
mnj,p15,4.74208256678863,2,0.160783795066777
p15,mnj,4.74208256678863,2,0.160783795066777
av1,p16,4.74228667420679,2,0.160799569208148
p16,av1,4.74228667420679,2,0.160799569208148
fay,ps3,4.74254829365429,2,0.160819788082052
ps3,fay,4.74254829365429,2,0.160819788082052
p16,siy,4.74276420603146,2,0.160836474552304
siy,p16,4.74276420603146,2,0.160836474552304
gzi,os1,4.74534621383309,2,0.161036021224609
os1,gzi,4.74534621383309,2,0.161036021224609
mnj,pb2,4.74741253575596,2,0.161195713872849
pb2,mnj,4.74741253575596,2,0.161195713872849
pb4,siy,4.74749577842198,2,0.161202147159761
siy,pb4,4.74749577842198,2,0.161202147159761
os2,ps1,4.75256248814292,2,0.161593720362487
ps1,os2,4.75256248814292,2,0.161593720362487
fay,yah,4.75263131744472,2,0.161599039733762
yah,fay,4.75263131744472,2,0.161599039733762
tly,yah,4.75460456748548,2,0.161751539458592
yah,tly,4.75460456748548,2,0.161751539458592
lrl,pt2,4.75556280523739,2,0.161825595452749
pt2,lrl,4.75556280523739,2,0.161825595452749
tgk,wb3,4.75623765290729,2,0.16187775006156
wb3,tgk,4.75623765290729,2,0.16187775006156
hac,lsa,4.75783525002981,2,0.162001218003555
lsa,hac,4.75783525002981,2,0.162001218003555
prc,yah,4.75892481846209,2,0.162085423696029
yah,prc,4.75892481846209,2,0.162085423696029
p13,tgk,4.76192658948208,2,0.162317411150785
tgk,p13,4.76192658948208,2,0.162317411150785
p16,tly,4.76236191741521,2,0.162351054829306
tly,p16,4.76236191741521,2,0.162351054829306
av2,p12,4.76250869828441,2,0.162362398572724
p12,av2,4.76250869828441,2,0.162362398572724
diq,hac,4.76313118741959,2,0.16241050672925
hac,diq,4.76313118741959,2,0.16241050672925
luz,pb4,4.76393888205396,2,0.162472928220163
pb4,luz,4.76393888205396,2,0.162472928220163
av2,vaf,4.76402683701885,2,0.162479725690157
vaf,av2,4.76402683701885,2,0.162479725690157
p22,ydg,4.76553180812964,2,0.162596035167179
ydg,p22,4.76553180812964,2,0.162596035167179
p16,tgk,4.76568434201927,2,0.162607823524313
tgk,p16,4.76568434201927,2,0.162607823524313
p12,tgk,4.76569590008885,2,0.162608716772707
tgk,p12,4.76569590008885,2,0.162608716772707
prc,wne,4.76654709729927,2,0.162674500296176
wne,prc,4.76654709729927,2,0.162674500296176
luz,p25,4.767110006929,2,0.162718003938322
p25,luz,4.767110006929,2,0.162718003938322
p15,tgk,4.76754574628223,2,0.16275167941284
tgk,p15,4.76754574628223,2,0.16275167941284
tgk,wb5,4.7675565020169,2,0.162752510653962
wb5,tgk,4.7675565020169,2,0.162752510653962
bgp,p14,4.76764233953026,2,0.162759144479831
p14,bgp,4.76764233953026,2,0.162759144479831
mnj,p14,4.76943084879181,2,0.162897366785474
p14,mnj,4.76943084879181,2,0.162897366785474
bgn,prc,4.77036428833131,2,0.162969506286287
prc,bgn,4.77036428833131,2,0.162969506286287
p23,tgk,4.77201068042374,2,0.163096745275707
tgk,p23,4.77201068042374,2,0.163096745275707
mnj,pb4,4.7720155192477,2,0.163097119237094
pb4,mnj,4.7720155192477,2,0.163097119237094
bcc,p15,4.77204287676513,2,0.163099233522559
p15,bcc,4.77204287676513,2,0.163099233522559
luz,pb7,4.77211202318831,2,0.163104577402092
pb7,luz,4.77211202318831,2,0.163104577402092
p11,vaf,4.77297812110532,2,0.163171512504736
vaf,p11,4.77297812110532,2,0.163171512504736
pb5,siy,4.77445243619517,2,0.163285452776304
siy,pb5,4.77445243619517,2,0.163285452776304
bcc,ps1,4.7758931660515,2,0.163396797462536
ps1,bcc,4.7758931660515,2,0.163396797462536
kiu,pb2,4.77715012529075,2,0.163493939707132
pb2,kiu,4.77715012529075,2,0.163493939707132
p14,tly,4.77766520960927,2,0.163533747240499
tly,p14,4.77766520960927,2,0.163533747240499
mnj,pes,4.77778009776043,2,0.163542626202149
pes,mnj,4.77778009776043,2,0.163542626202149
hac,srz,4.78108005971474,2,0.163797658904335
srz,hac,4.78108005971474,2,0.163797658904335
av1,lsa,4.78140455928953,2,0.163822737376318
lsa,av1,4.78140455928953,2,0.163822737376318
pt1,sqo,4.78307169812226,2,0.163951579747023
sqo,pt1,4.78307169812226,2,0.163951579747023
pb1,vaf,4.78677032137455,2,0.164237422400805
vaf,pb1,4.78677032137455,2,0.164237422400805
kfm,p20,4.78679642429014,2,0.164239439726213
p20,kfm,4.78679642429014,2,0.164239439726213
sqo,yah,4.78709653521124,2,0.164262633356995
yah,sqo,4.78709653521124,2,0.164262633356995
av1,fay,4.78732484731094,2,0.164280278121552
fay,av1,4.78732484731094,2,0.164280278121552
av2,p21,4.78811974920744,2,0.164341710944549
p21,av2,4.78811974920744,2,0.164341710944549
pb6,tgk,4.78924612156826,2,0.164428760974466
tgk,pb6,4.78924612156826,2,0.164428760974466
mnj,p18,4.789950191782,2,0.164483174004563
p18,mnj,4.789950191782,2,0.164483174004563
kfm,p12,4.79015977241649,2,0.164499371135402
p12,kfm,4.79015977241649,2,0.164499371135402
av2,pt2,4.7906433397164,2,0.164536742922378
pt2,av2,4.7906433397164,2,0.164536742922378
wb5,zum,4.79090704400901,2,0.164557122920467
zum,wb5,4.79090704400901,2,0.164557122920467
bgp,pt4,4.79351056187634,2,0.164758331966537
pt4,bgp,4.79351056187634,2,0.164758331966537
luz,pb1,4.79850341545861,2,0.1651441973063
pb1,luz,4.79850341545861,2,0.1651441973063
p16,ydg,4.79992456563866,2,0.165254028806071
ydg,p16,4.79992456563866,2,0.165254028806071
kiu,sgh,4.80074307955893,2,0.165317286449569
sgh,kiu,4.80074307955893,2,0.165317286449569
oru,pes,4.80146938933464,2,0.165373418231477
pes,oru,4.80146938933464,2,0.165373418231477
av2,p14,4.80248940257218,2,0.165452248453109
p14,av2,4.80248940257218,2,0.165452248453109
luz,p10,4.80451108053627,2,0.165608490858709
p10,luz,4.80451108053627,2,0.165608490858709
pb4,tly,4.80519808855716,2,0.165661585262347
tly,pb4,4.80519808855716,2,0.165661585262347
ps2,tgk,4.80665300583426,2,0.165774026402509
tgk,ps2,4.80665300583426,2,0.165774026402509
ps2,siy,4.80912969696979,2,0.165965433831297
siy,ps2,4.80912969696979,2,0.165965433831297
bgp,pb6,4.80946717347804,2,0.165991515206481
pb6,bgp,4.80946717347804,2,0.165991515206481
fay,pb6,4.81326995353238,2,0.166285407465393
pb6,fay,4.81326995353238,2,0.166285407465393
lsa,os2,4.81360646087015,2,0.166311413939663
os2,lsa,4.81360646087015,2,0.166311413939663
pt2,siy,4.81448280124651,2,0.166379140615702
siy,pt2,4.81448280124651,2,0.166379140615702
hac,sqo,4.81651378104468,2,0.166536101899857
sqo,hac,4.81651378104468,2,0.166536101899857
p21,pes,4.81655226383294,2,0.166539075985502
pes,p21,4.81655226383294,2,0.166539075985502
kiu,p15,4.81980064799653,2,0.166790122574053
p15,kiu,4.81980064799653,2,0.166790122574053
av2,pb1,4.82027593994858,2,0.16682685481295
pb1,av2,4.82027593994858,2,0.16682685481295
pb5,ydg,4.821449365329,2,0.166917541266226
ydg,pb5,4.821449365329,2,0.166917541266226
pb1,siy,4.82152390093472,2,0.1669233016408
siy,pb1,4.82152390093472,2,0.1669233016408
bgn,p12,4.82240720158656,2,0.166991566231483
p12,bgn,4.82240720158656,2,0.166991566231483
hac,zum,4.82435642626896,2,0.167142209191857
zum,hac,4.82435642626896,2,0.167142209191857
fay,pb2,4.82477871017344,2,0.167174844781825
pb2,fay,4.82477871017344,2,0.167174844781825
pb2,tly,4.82567343487515,2,0.167243992263386
tly,pb2,4.82567343487515,2,0.167243992263386
pb1,pes,4.82715350059602,2,0.167358376964008
pes,pb1,4.82715350059602,2,0.167358376964008
kfm,pb5,4.82802681568452,2,0.167425869835127
pb5,kfm,4.82802681568452,2,0.167425869835127
p14,sqo,4.82828046659419,2,0.167445472872313
sqo,p14,4.82828046659419,2,0.167445472872313
p18,siy,4.82899194923889,2,0.167500458761226
siy,p18,4.82899194923889,2,0.167500458761226
pb6,ydg,4.82918555413892,2,0.167515421230944
ydg,pb6,4.82918555413892,2,0.167515421230944
luz,p20,4.83000982170869,2,0.167579123536774
p20,luz,4.83000982170869,2,0.167579123536774
p25,prc,4.83038451054253,2,0.167608080811766
prc,p25,4.83038451054253,2,0.167608080811766
kiu,zum,4.83063530021407,2,0.167627462722375
zum,kiu,4.83063530021407,2,0.167627462722375
p21,tly,4.83181799377954,2,0.16771886545369
tly,p21,4.83181799377954,2,0.16771886545369
mnj,pb6,4.83212468537759,2,0.167742567662404
pb6,mnj,4.83212468537759,2,0.167742567662404
p20,siy,4.83277233945397,2,0.167792620654368
siy,p20,4.83277233945397,2,0.167792620654368
luz,p22,4.83291415211449,2,0.167803580437092
p22,luz,4.83291415211449,2,0.167803580437092
p24,ydg,4.83480211626824,2,0.167949488967684
