,ast,ca1,ca2,ca3,ca4,ca5,ca6,dlm,eg1,eg2,eg3,eg4,fra,fro,fur,glg,ita,itf,itg,ito,lat,li1,li2,li3,ll1,ll2,lm1,lm2,nea,pcd,pm1,pm2,pm3,pm4,pm5,por,pr1,pr2,qbb,ro1,ro2,ro3,ro4,ron,ruo,rup,ruq,sc1,sc2,sc3,sc4,spa,src,sro,ve1,ve2,ve3,win
eg3,21.7700555510112,21.2264587412599,21.7536092064598,21.5966194534279,21.6443530531057,21.551622852337,21.561230209727,22.0270156610377,20.3420844274582,20.1825907899455,0,19.5103009070062,23.0615831178593,22.2729194090368,21.6777234513569,21.5613450287647,19.887190978821,20.5849380454617,19.9831495383694,20.4903976776851,22.5290150765083,20.5276141614294,20.9704589201683,21.2709850970438,21.7610423248376,21.4025911846258,21.3637385682286,21.3003513340548,18.3000718422047,23.4450804902417,21.298934252746,21.1355765122794,21.0953534507101,21.119837200676,20.9395903001966,20.6497692425256,22.2317303317367,23.1741159941833,22.5613316364977,21.6271522922756,21.8621297366443,22.171476699198,21.6468134395404,22.6533547683175,23.3766369505163,23.1041679744311,22.792977945007,20.3892994073626,20.4653104507409,20.2821349423153,20.5538341485098,21.7969481511028,21.5111351484076,22.0536233662973,19.7684324205543,20.0906220024744,20.0723492188532,23.5942472010205
eg4,21.8873439249837,21.3492333383184,21.7382868140643,21.7082315008511,21.6151806869108,21.5655857388571,21.6167832924944,22.1008785736754,20.548112437353,20.3830885651176,19.5103009070062,0,23.1908694615069,22.1843632032203,21.8218605352619,21.7896222058844,20.4756093827769,20.979153715421,20.655029635825,20.7889232350035,22.764188086826,20.6091387197751,21.0742176125488,21.4124316850768,21.7104355040152,21.5510173723498,21.3515224976804,21.1153402624452,18.8139027422316,23.4700705603835,21.3774557482893,21.199076479113,20.9304258545506,21.0597631277818,20.9379570920712,20.7679823658972,22.2781379647024,23.1151394049535,22.8799296025962,21.6693051741648,22.0572814482639,22.2280322264233,21.8102368464672,22.9148716379835,23.7361159344894,23.3693487320349,23.1761628329405,20.1818292143684,20.5639737590475,20.257956744748,20.3330248127597,22.0571857250888,21.591656113224,21.9028505980045,20.2349887726362,20.3742611355594,20.4406842236837,23.5686425659548
fra,23.1592097495152,22.703352992022,23.0648109501457,23.0593070397994,23.080871708222,23.0870865507152,23.104321172997,23.3564973766317,23.1659614174835,23.0963863776463,23.0615831178593,23.1908694615069,0,21.7737647552068,23.0777236453956,23.0504099969142,22.3701858333355,23.6294269668661,23.0396836954605,22.7891692137795,23.817037453412,22.8260759487585,23.2593569716134,22.7908645753621,23.1231671907544,22.8998675595928,23.5780645661704,23.0242835606147,22.6207254848295,21.6802436045142,22.8586009839637,22.4012176033148,22.4491782849682,22.5551299209832,22.4701581543865,23.2664109171039,21.6506177212863,22.1972744688776,24.2042973369337,22.5473456670279,23.017203514047,22.9620130065249,22.8534760000524,24.1566864365937,24.6620291245023,24.9986863271538,24.0698724591677,23.856236213192,23.2376029688209,23.0919068805546,23.5632238320546,23.4354210982895,23.1918343954168,24.0064336146625,22.8760317442119,22.8965146043968,22.8296783355072,21.843691496197
fro,22.3268522114091,21.6063504484935,21.702831040516,21.9953660678528,21.6821267300954,21.643187479467,21.7843843203126,22.1024582048961,22.664634311355,22.3976945207667,22.2729194090368,22.1843632032203,21.7737647552069,0,22.2190930627377,22.0768248506861,21.5232563970062,22.7629527929962,22.3040289379757,21.6380576884234,22.8942351651013,22.2450776193154,22.5993931248872,22.466580695895,22.0357524330676,22.1922232562654,23.0785677651226,22.6016898906218,22.6019036250507,22.8756977116527,22.597679792589,22.1877056486662,22.1850876465764,22.2098412837175,22.4062392160032,21.9219302980149,21.6696497717861,22.6993189692636,23.0610367501795,21.1894805748472,21.8779015968368,22.1360211562185,21.3931006419487,23.3359636920102,24.4050901809285,23.4133152075019,23.2791285685634,21.8284467471961,22.1998708636994,21.9164020480896,22.2898025521875,22.3531708728957,22.1562771195277,22.7917981368204,22.1350194203229,22.0947482046702,21.9492423428607,22.4638885306179
fur,21.9420334865756,21.5436101965381,22.0319289805635,22.1515965287382,22.128390470399,22.1293984621206,21.9998135753013,21.3450522213442,21.7615851834663,21.6828645294617,21.6777234513569,21.821860535262,23.0777236453956,22.2190930627377,0,22.3393350096601,21.2823706939842,21.905116048226,21.3995283993862,21.5595892616562,22.9493391449492,21.8780549455333,22.0197830367363,22.1960657556027,20.8912161554699,21.3102018640879,22.3666591321889,22.0617361497085,19.4374803494779,23.6764267921103,22.4194518921911,22.0901785903698,22.1035757389164,22.0571058406986,21.9953134772987,21.8177776507644,21.9885695018482,23.0952655167463,23.1452706319734,21.9095290056712,22.1588010016165,22.2092096490045,22.063795971964,22.8478510730211,23.5131749822006,23.3579773597274,22.7450686227226,21.8191365310399,21.8725973655526,21.6813010937441,21.962649555453,22.3021612228223,22.118305091539,22.872732222922,21.411978780575,21.2233519238919,21.3986185515141,23.387523282504
glg,20.1571198416219,20.9940589894425,21.4912604720353,21.7786124296753,21.229378336933,21.0778176493371,21.1808946118719,22.5212106950806,22.1285103535296,21.582204661267,21.5613450287647,21.7896222058844,23.0504099969142,22.0768248506862,22.3393350096601,0,21.3381179311337,21.8728578381263,21.7490434787309,21.5024417638464,21.7364144519714,21.5469015308851,21.8071248883795,21.9383301591135,22.3191773069361,22.2356491120496,22.8533411361433,22.3793477334946,19.0607910055592,23.5995915397584,22.4297941363385,22.3741974054725,22.3007196728961,22.3472346257255,22.2127070136158,17.6732038133661,21.9430134478814,23.2663047367328,22.1126562439183,21.9327547350795,22.1861937793129,22.4818133072081,21.9586563923993,22.6953203806944,23.5197000443285,22.848562102081,22.6452275182131,20.232352930055,20.5394056100909,20.1208029017011,20.2031506355118,20.5819039077351,21.7279084375015,21.7364395567762,21.4536648925245,21.334120060929,21.5221709927017,23.7769996855122
ita,21.2901837496017,20.4263222987976,21.3622455315526,21.3898219865029,21.172106998606,21.3775119787373,21.3033478646437,20.2949417796922,20.2708984869243,19.8427171404556,19.887190978821,20.4756093827769,22.3701858333356,21.5232563970063,21.2823706939842,21.3381179311337,0,19.6511418435971,18.9897844324452,19.1252639134821,20.3405869952337,19.7114485527786,20.407072464094,20.9386188143002,21.0736562269182,20.8824449260555,21.8684036152262,20.9577256929999,16.1831370190782,22.9712243572727,20.6442522274975,20.1689165371283,20.2059149856192,20.1466728990089,20.2873918263457,19.2792630114562,21.7897097077975,22.6718255380195,20.7573439712584,20.3653961171597,20.8226953084837,21.3781971894385,20.6864599864484,21.203297104668,22.8108191490136,22.000794861455,21.4196538010798,17.9428002395679,18.4133705563346,18.0721833263537,18.8006088475575,21.4827166141503,20.9214880896947,20.727068984614,19.8865808440125,19.7531624943135,19.5502660708013,22.9854451168098
itf,22.061234055457,21.421043198721,21.7811148720494,22.0349477057043,21.8869838526818,21.9468345349541,21.9285239506528,21.9676927584134,20.8012199535428,20.861500250403,20.5849380454617,20.979153715421,23.6294269668661,22.7629527929961,21.9051160482259,21.8728578381264,19.6511418435971,0,19.5190566942678,20.0140159603171,22.0171937573937,21.3148282348427,21.5747899669273,21.9504142718784,21.8385727610302,21.5361402720922,21.9582403822245,21.4798340579407,17.2842593591163,23.6424246081632,21.705149316327,21.8199593495886,21.7239708141548,21.7421102289078,21.2886683389057,21.5760420670219,22.4838594064799,23.4962081087361,22.0457558478455,22.218083197071,22.4920914120189,22.5309848236813,22.2163366582701,22.4326638438005,23.4764946133626,22.951008484102,23.0634386245469,20.7644061100388,20.6941147127154,20.6874808425215,21.0028504953966,22.0228091428547,21.5749116327006,22.0785091501232,20.5574770982121,20.3998129854605,20.673716552431,23.7834043326591
itg,21.7410202754042,20.837399743927,21.5487572727676,21.569741636553,21.2681401517119,21.5664526372256,21.512952639455,21.1773050774828,20.1719165167906,20.2164833536172,19.9831495383695,20.6550296358251,23.0396836954606,22.3040289379758,21.3995283993862,21.7490434787309,18.9897844324452,19.5190566942678,0,19.8126125356836,21.4585309596721,20.034711159473,20.3476529518614,21.0360225205494,21.5689889294641,21.1339695874399,21.617046031386,21.1504726875767,16.5957545618686,23.4781412375284,20.9922846152785,20.8472847837705,20.8709830324999,20.7867551135419,20.5318534086034,20.1845024290963,22.2186570414059,23.3260321870515,21.586201523281,20.836051600741,21.4583741524475,21.8353289975742,21.4037217634727,22.0008984264044,23.2439489763368,22.5554455538738,22.5163948029499,18.6659276732569,18.5896761730453,18.4747002270656,19.0658268335991,21.8969448317181,20.9325170096368,21.3162684161464,20.1151918975137,19.8412607217565,20.1387149285384,23.6483344188398
ito,21.6500741792967,20.7106491835149,21.5049001345852,21.4356674313748,21.41288282159,21.4041836662608,21.3928454123008,21.0110005680608,20.413299081195,20.2612545822393,20.4903976776852,20.7889232350035,22.7891692137795,21.6380576884234,21.5595892616562,21.5024417638464,19.1252639134821,20.0140159603171,19.8126125356836,0,20.6386064884614,20.3220585908028,20.4720813446462,21.3100657124025,21.2481825583988,21.1035610138939,22.0993303862556,21.4535675466478,16.3602898175076,23.4212303170507,21.2933014015739,20.8620652816249,20.7785234117535,20.8121838463857,21.056470972191,19.9699731686922,22.0661067582271,23.0977983589007,20.7567694429456,20.7143636049812,21.0939718540872,21.9174578044485,20.9449612897451,21.8417349584997,23.1327067917901,22.3577364408201,22.1536121355779,18.6373568248061,18.5341006342901,18.5348551753815,19.104417954676,21.6107192621537,20.8608886044679,21.0738446571786,20.1119033886503,20.0919644184847,19.8662546501491,23.4777286672855
