,ast,ca1,ca2,ca3,ca4,ca5,ca6,dlm,eg1,eg2,eg3,eg4,fra,fro,fur,glg,ita,itf,itg,ito,lat,li1,li2,li3,ll1,ll2,lm1,lm2,nea,pcd,pm1,pm2,pm3,pm4,pm5,por,pr1,pr2,qbb,ro1,ro2,ro3,ro4,ron,ruo,rup,ruq,sc1,sc2,sc3,sc4,spa,src,sro,ve1,ve2,ve3,win
eg3,0.713136201008268,0.664837632117293,0.711674943526491,0.697726406180479,0.701967535839621,0.693728458807239,0.694582072376039,0.73596710316538,0.586260986790579,0.572089979343716,NA,0.512357032712362,0.827888407134253,0.757815647712054,0.704932495254286,0.694592274045919,0.54584371028539,0.607838527330106,0.554369626949894,0.599438616984563,0.780569744160322,0.602745301041128,0.642092051618532,0.668793798201631,0.712335375989679,0.680486997229901,0.677034942810164,0.671402987946502,0.4048281973483,0.861962143269666,0.671277080292169,0.656762747352264,0.653188928898292,0.655364309737956,0.639349375168768,0.613598778276227,0.754155998774007,0.837886951610844,0.783441070060267,0.700439248482103,0.721316991105095,0.748802464371488,0.702186141139702,0.791617324026509,0.855880935728943,0.831672071040932,0.804022841309065,0.590456037090164,0.597209617223871,0.580934475879901,0.605074946523962,0.715525608147687,0.690131126883296,0.738331197402976,0.535292014055866,0.563918553872102,0.562295017304686,0.875215603421656
eg4,0.723557271383965,0.675746153336919,0.710313549177933,0.707643135022206,0.69937557151404,0.694969061077912,0.699517962997573,0.742529821913034,0.604566572568265,0.589904203844168,0.512357032712365,NA,0.83937549694661,0.749947430072386,0.717739073129382,0.714874698018198,0.598124677190227,0.642864584054287,0.614066164146796,0.625962608548194,0.801464862815132,0.609988756902033,0.651311009975317,0.681361325556383,0.707838960672299,0.693674661918903,0.675949545113996,0.654964756839486,0.450482065579454,0.864182510649832,0.678253714065377,0.662404718511163,0.638535114302185,0.650026729207328,0.639204264649825,0.624102012623005,0.758279316309452,0.832646882488336,0.811748494861334,0.704184531444329,0.738656217934198,0.75382742216899,0.716706308543663,0.814853094213406,0.887820638392447,0.855233377619514,0.838068813205594,0.572022313364413,0.605975850777446,0.578786243366549,0.585456040152206,0.738647712931433,0.697285413473266,0.724935039063486,0.576745539367871,0.589119886852231,0.595021577296649,0.872940631956659
fra,0.836562531982012,0.79605966549853,0.828175199987436,0.827686177630678,0.829602198116336,0.830154386784338,0.831685682731355,0.854091534872925,0.837162417585912,0.830980676276194,0.827888407134253,0.839375496946611,NA,0.713465763748816,0.829322492778544,0.826895675495623,0.766457768141202,0.878341325121608,0.825942643762525,0.803684435593139,0.895010514209105,0.806963598476273,0.845460611255069,0.803835068445879,0.8333601511437,0.813519982059695,0.873777776543128,0.824574341998356,0.788718212648109,0.705156410826826,0.809853447396205,0.769214940466843,0.773476246356324,0.782890047724149,0.775340307458683,0.846087354212562,0.702524151519249,0.751094595844211,0.929418549406258,0.782198416869841,0.823945279960518,0.81904160414443,0.809398092647858,0.92518832158155,0.970088012285536,1,0.917474900909851,0.898493323463528,0.843527768413314,0.830582673022683,0.872459177525938,0.861103906430742,0.839461231310917,0.911838360468962,0.811402170198784,0.813222072037756,0.807283670488159,0.719678753701024
fro,0.762607576443307,0.698591004955021,0.707163304197489,0.733155037256616,0.705323726508196,0.70186397463824,0.714409311958908,0.742670172124742,0.79261951126654,0.768901914632062,0.757815647712054,0.749947430072386,0.713465763748819,NA,0.753033177601416,0.740392648964182,0.691208099650581,0.801355106975748,0.760579728920166,0.701408192776262,0.81301954388845,0.755341905087403,0.786822832767657,0.775022450322088,0.736743365237191,0.750645795674757,0.829397492804397,0.787026900370835,0.78704589067183,0.811372491410604,0.786670603217097,0.750244406303182,0.750011796854374,0.752211157165756,0.769661110683487,0.72663027014071,0.704215148938127,0.795701242633258,0.827839862373591,0.661552122552292,0.722718320661086,0.745652239877072,0.679643762646694,0.852267117283479,0.947258990767451,0.859139798345578,0.847217317365635,0.718324257966984,0.751325285487566,0.726139085212699,0.759315714743232,0.764945989145744,0.747451981931833,0.8039180153683,0.745563235656855,0.741985138713256,0.729056944940626,0.774783251475133
fur,0.728416438161213,0.693016534452343,0.73640365153605,0.747036111506104,0.744974253549471,0.745063813599745,0.733550198230787,0.675374661152643,0.71238360897119,0.705389279971503,0.70493249525429,0.717739073129387,0.829322492778541,0.753033177601416,NA,0.763716672892108,0.669805408329444,0.725136324283757,0.680214868804496,0.69443627416306,0.817915531721906,0.722731945690615,0.735324484598054,0.750987201686762,0.635051333091047,0.672278207401212,0.76614442079399,0.739052018094811,0.505886927201494,0.882517258932658,0.770835056776712,0.741579128547018,0.742769465006712,0.738640615204489,0.733150364586621,0.717376308899273,0.732551162462825,0.830881087801011,0.835324041584721,0.725528415490621,0.747676228819884,0.752155036430409,0.739235033273204,0.808898317960347,0.86801233792124,0.854223031350133,0.799766098698798,0.717497045392616,0.722247039786186,0.705250368730012,0.730248175590642,0.760413782455087,0.7440781677798,0.811109007778637,0.681321084997778,0.664561591437902,0.680134028833871,0.856848186172743
glg,0.569826885943868,0.644188917441188,0.688365262167511,0.71389647955707,0.665097038151736,0.651630873193255,0.660789259862849,0.779876324980383,0.744984905163943,0.69644565209999,0.694592274045921,0.7148746980182,0.826895675495623,0.740392648964184,0.763716672892106,NA,0.674758549565096,0.722270182770692,0.711269278682075,0.689358719787457,0.71014718983235,0.693308969462722,0.716429811111401,0.728087397568365,0.761925661288962,0.754504182349617,0.809386109991439,0.767271802841308,0.472418084299208,0.875690447843256,0.771753965023559,0.766814196269078,0.760285700764443,0.764418553668271,0.752465777226867,0.349130981814126,0.728503507709432,0.84607792008808,0.743576267748252,0.727592021221458,0.750110076732438,0.77637586762274,0.729893383109549,0.795345968095196,0.868592089599416,0.808961492882301,0.790895217969183,0.576511344791649,0.603792971088641,0.566600126343355,0.573916721332742,0.607568944235832,0.709391430566486,0.710149420393905,0.685024895457433,0.674403338853709,0.691111661493413,0.891453159095056
ita,0.670499598211033,0.593745520472773,0.676902286522526,0.679352454156503,0.660008480547926,0.678258710139896,0.671669229647118,0.582072363200479,0.57993611697665,0.541892210372947,0.545843710285393,0.598124677190229,0.76645776814121,0.691208099650584,0.669805408329444,0.674758549565098,NA,0.524870747945015,0.46610915127801,0.478146501260185,0.586127939958527,0.530228998206495,0.59203517293045,0.639263058660552,0.651261130869936,0.634272009481103,0.721874425128744,0.640960704563937,0.216738568126126,0.819860032528642,0.613108591568673,0.570875022173483,0.574162333800848,0.56889867523983,0.581401549951966,0.491829318946433,0.714882472561948,0.79325845165441,0.623156791409162,0.58833223009227,0.628963256801294,0.678319591101041,0.616858750357055,0.66277972103229,0.805608032033797,0.733637385491721,0.682003010461545,0.37308462048545,0.414894786503168,0.384580305924276,0.449300903224882,0.687606140514753,0.637740994020605,0.620466859272173,0.545789499816255,0.533935281324416,0.51590793695273,0.821123546813243
itf,0.739007407027638,0.682126458422396,0.714118821526766,0.736671865222294,0.723525278965011,0.728843011242034,0.727216116084726,0.730696264102644,0.627055171817237,0.632411075344344,0.607838527330106,0.642864584054287,0.87834132512161,0.801355106975744,0.725136324283754,0.722270182770697,0.524870747945011,NA,0.513134984287244,0.557112108105256,0.735094427164932,0.672689260377629,0.695786856612322,0.729161070817344,0.719223954153538,0.692352831770527,0.729856420611385,0.687350025436125,0.314573272531499,0.87949616536781,0.707369282970644,0.717570152809081,0.709041572787585,0.710653259532934,0.670364953992033,0.695898105688101,0.776557663514224,0.866504831452866,0.737632168499331,0.75294345105115,0.777289077090437,0.780744756168905,0.752788271103288,0.772008938491142,0.864753287666555,0.818063852482123,0.828053268877315,0.623784262340352,0.617538872678075,0.61694945340477,0.6449700426214,0.735593354084053,0.69579766661457,0.740542298945448,0.605398622553711,0.5913901683561,0.615726496424071,0.892022211903863
itg,0.710556417179488,0.630269745683349,0.69347385210285,0.69533831252966,0.668541024848963,0.695046084985739,0.690292610937264,0.660470329782931,0.571141570324228,0.575101333148642,0.5543696269499,0.614066164146799,0.82594264376253,0.760579728920168,0.680214868804496,0.711269278682079,0.46610915127801,0.513134984287248,NA,0.539217416662916,0.685457245454969,0.558950876258813,0.586755750105391,0.647917376589061,0.695271434515419,0.656619972102906,0.699541307344389,0.658086272317647,0.253399630992197,0.864899590200497,0.644031264321701,0.631148031334235,0.633253620400103,0.625769970986859,0.603121958092834,0.572259828455339,0.752994437112222,0.851384703207761,0.696800773233643,0.630149963180266,0.685443313135268,0.71893574581615,0.680587449144527,0.733646587236018,0.844091611091734,0.782918091702032,0.77944843303239,0.437334482784975,0.430559538065016,0.42034392688392,0.472865517549633,0.724410311812108,0.638720913402142,0.672817220466175,0.566101588700319,0.541762807592043,0.568191609675596,0.880021251963198
ito,0.702475857821125,0.619007960175757,0.689577145992979,0.683425821287736,0.681401409029226,0.680628489200743,0.679621085496073,0.645694176462833,0.592588407772188,0.579079256181206,0.599438616984566,0.625962608548194,0.803684435593143,0.701408192776262,0.69443627416306,0.689358719787461,0.478146501260185,0.557112108105261,0.539217416662916,NA,0.612606967734819,0.584481691485774,0.597811211051998,0.672266110325888,0.666767792964154,0.653918170771586,0.742392265482586,0.685016246277659,0.232478591771748,0.85984305571752,0.670776601544852,0.632461278360449,0.625038584398884,0.62802931354192,0.649734221229451,0.553198906689635,0.73944034660014,0.831106130790758,0.623105744576667,0.619337986470721,0.653066174057801,0.726232889150318,0.639826587514507,0.719504915354169,0.834207744561374,0.765351639791532,0.747215198145424,0.434795963302477,0.425621652229286,0.425688693194626,0.476294338113837,0.698979173987202,0.632356730611621,0.651277872895922,0.565809404734118,0.564037827515711,0.543983517777743,0.864862933340226
