L1,L2,Score,Cluster_number
ve3,li1,0.479426068437457,2
li1,ve3,0.479426068437464,2
itg,sc2,0.479838695004532,2
sc2,itg,0.479838695004537,2
ve3,pm1,0.480259291618159,2
pm1,ve3,0.480259291618159,2
pm1,eg4,0.480831370389251,2
eg4,pm1,0.480831370389257,2
lm2,eg4,0.482564252661972,2
eg4,lm2,0.482564252661982,2
sc3,ito,0.483494173719427,2
ito,sc3,0.483494173719427,2
ve3,pm3,0.48351143374461,2
pm3,ve3,0.483511433744612,2
ve3,eg1,0.483796461329334,2
eg1,ve3,0.483796461329335,2
por,glg,0.486914137625087,2
glg,por,0.486914137625089,2
eg2,pm4,0.487125116005921,2
pm4,eg2,0.487125116005923,2
pm5,eg2,0.487265968033444,2
eg2,pm5,0.487265968033449,2
nea,sc3,0.4880013526014,2
sc3,nea,0.488001352601402,2
ve2,itf,0.488724999872723,2
itf,ve2,0.488724999872725,2
ve1,pm4,0.488734595676429,2
pm4,ve1,0.488734595676436,2
lm2,ve3,0.489709941338613,2
ve3,lm2,0.489709941338616,2
eg2,itg,0.489753106874155,2
itg,eg2,0.489753106874158,2
lm2,eg3,0.491046862683851,2
eg3,lm2,0.491046862683858,2
eg3,ll2,0.491828300615861,2
ll2,eg3,0.491828300615864,2
ito,sc2,0.492072486578278,2
sc2,ito,0.492072486578279,2
pm1,li2,0.492413590730503,2
li2,pm1,0.492413590730506,2
lm2,li3,0.494713425906941,2
li3,lm2,0.494713425906944,2
ve2,li1,0.494808388964946,2
li1,ve2,0.494808388964952,2
lm1,pm2,0.495342233037876,2
pm2,lm1,0.495342233037878,2
pm2,eg2,0.496259810095826,2
eg2,pm2,0.496259810095828,2
nea,sc2,0.496706033799506,2
sc2,nea,0.496706033799511,2
lm1,pm4,0.497939642317267,2
pm4,lm1,0.497939642317273,2
ve3,itf,0.499502711079202,2
itf,ve3,0.499502711079204,2
ve2,eg1,0.49983957370835,2
eg1,ve2,0.499839573708351,2
lm1,pm3,0.49984546597628,2
pm3,lm1,0.499845465976284,2
ve2,lm1,0.5000213766351,2
lm1,ve2,0.5000213766351,2
eg2,ll2,0.500836680988846,2
ll2,eg2,0.500836680988853,2
ruo,ron,0.501951590190189,2
ron,ruo,0.501951590190192,2
pm2,eg1,0.503210094807633,2
eg1,pm2,0.503210094807633,2
