,av1,av2,bcc,bgn,bgp,bql,ckb,diq,fay,glk,gzi,hac,jdt,kfm,kiu,kmr,lrl,lsa,luz,mnj,ntz,oru,os1,os2,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,pb1,pb2,pb3,pb4,pb5,pb6,pb7,pb8,pb9,pes,prc,prs,ps1,ps2,ps3,ps4,ps5,pt1,pt2,pt3,pt4,pt5,sdh,sgh,siy,sqo,srz,tgk,tly,vaf,wb1,wb2,wb3,wb5,wne,yah,yai,ydg,zum
ps1,0.783998599439776,0.810215053763441,0.814646464646465,0.846666666666667,0.817204301075269,0.842929292929293,0.794719926538108,0.829410430839002,0.817741935483871,0.823333333333333,0.800877192982456,0.791666666666667,0.846825396825397,0.794444444444444,0.798979591836735,0.800476190476191,0.806770833333333,0.877333333333333,0.768181818181818,0.729251700680272,0.886666666666667,0.686666666666667,0.850680272108844,0.827460317460318,0.339523809523809,0.391904761904762,0.372549019607843,0.376190476190476,0.40952380952381,0.378095238095238,0.375714285714286,0.407142857142857,0.370952380952381,0.396394557823129,0.354761904761905,0.396984126984127,0.388571428571429,0.374329004329004,0.308571428571428,0.368095238095238,0.378095238095238,0.385994397759104,0.385238095238095,0.375714285714286,0.344285714285714,0.344285714285714,0.43109243697479,0.459727891156463,0.305102040816327,0.790952380952381,0.789583333333333,0.821632653061225,NA,0.254545454545454,0.305714285714286,0.226233766233766,0.306428571428571,0.356190476190476,0.357619047619048,0.42952380952381,0.363809523809524,0.375238095238095,0.809666666666666,0.831666666666666,0.771180555555556,0.812179487179487,0.844505494505495,0.781156462585034,0.833333333333333,0.810141093474427,0.826923076923077,0.825925925925926,0.826543209876543,0.842592592592593,0.39952380952381,0.832291666666667,0.831862745098039,0.717619047619048,0.828694581280788
ps2,0.820498511904762,0.817241379310345,0.830645161290323,0.842857142857143,0.821551724137931,0.841397849462366,0.820185728250245,0.836243386243386,0.797947454844006,0.843707482993197,0.814814814814815,0.839393939393939,0.844612794612795,0.792105263157895,0.778663003663004,0.811616161616162,0.832258064516129,0.853373015873016,0.797311827956989,0.715151515151515,0.85858843537415,0.707070707070707,0.865367965367966,0.855892255892256,0.240909090909091,0.295959595959596,0.324747474747475,0.297979797979798,0.338383838383838,0.343939393939394,0.292929292929293,0.288888888888889,0.277272727272727,0.245165945165945,0.255050505050505,0.27020202020202,0.263636363636364,0.218686868686869,0.247474747474748,0.284343434343434,0.27979797979798,0.343973214285714,0.358080808080808,0.267171717171717,0.251515151515151,0.244949494949495,0.279910714285714,0.325468975468975,0.308441558441559,0.77020202020202,0.786021505376344,0.789357864357864,0.254545454545454,NA,0.147474747474747,0.216161616161616,0.238888888888889,0.265151515151515,0.259090909090909,0.308585858585859,0.244444444444444,0.245454545454545,0.822569444444444,0.839141414141414,0.769259259259259,0.771333333333333,0.825904761904762,0.746103896103896,0.778282828282828,0.810164835164835,0.868,0.865384615384615,0.873717948717949,0.882692307692308,0.393434343434343,0.856451612903226,0.8265625,0.75,0.835449735449735
ps3,0.796463585434174,0.798924731182796,0.81969696969697,0.819444444444444,0.815860215053764,0.82020202020202,0.819972451790634,0.830566893424036,0.778494623655914,0.838333333333333,0.837719298245614,0.825,0.850634920634921,0.807936507936508,0.765306122448979,0.8,0.822395833333333,0.843619047619048,0.762121212121212,0.74,0.851666666666667,0.716190476190476,0.874965986394558,0.854126984126984,0.265238095238095,0.293809523809524,0.317647058823529,0.277619047619048,0.317619047619048,0.348095238095238,0.29,0.274285714285714,0.295238095238095,0.343061224489796,0.233809523809524,0.264126984126984,0.241428571428571,0.32982683982684,0.324285714285714,0.368095238095238,0.274285714285714,0.335014005602241,0.366190476190476,0.268571428571428,0.239523809523809,0.245238095238095,0.239425770308123,0.326394557823129,0.279387755102041,0.743809523809524,0.822395833333333,0.809489795918367,0.305714285714286,0.147474747474747,NA,0.248874458874459,0.247619047619048,0.225714285714286,0.20952380952381,0.23,0.166190476190476,0.196666666666667,0.803,0.853571428571428,0.773263888888889,0.841025641025641,0.778754578754579,0.747755102040817,0.800952380952381,0.805202821869488,0.860897435897436,0.859876543209876,0.869135802469136,0.874074074074074,0.344285714285714,0.845833333333333,0.828921568627451,0.742380952380952,0.817391899288451
ps4,0.803383626177744,0.816422287390029,0.825528007346189,0.843080808080808,0.819379276637341,0.844995408631772,0.821808999081727,0.842527313955885,0.820416142996788,0.840858585858586,0.837719298245614,0.855618686868687,0.861847041847042,0.843290043290043,0.815630797773655,0.806450216450216,0.829971590909091,0.877030303030303,0.784159779614325,0.713568336425479,0.873383838383838,0.70004329004329,0.855213358070501,0.832005772005772,0.311471861471861,0.388138528138528,0.33578431372549,0.385497835497836,0.410519480519481,0.373333333333333,0.358874458874459,0.417662337662338,0.3795670995671,0.311069882498454,0.353593073593074,0.327748917748918,0.365281385281385,0.272510822510823,0.285281385281385,0.325627705627706,0.378138528138528,0.400254647313471,0.37991341991342,0.377186147186147,0.366233766233766,0.356709956709957,0.388489941431118,0.374403215831787,0.339431045145331,0.794112554112554,0.832575757575758,0.804035250463822,0.226233766233766,0.216161616161616,0.248874458874459,NA,0.192987012987013,0.317922077922078,0.297445887445887,0.381731601731602,0.307922077922078,0.301255411255411,0.821666666666667,0.850974025974026,0.783443813131313,0.818298368298368,0.838794538794539,0.770451453308596,0.808354978354978,0.81979316979317,0.870221445221445,0.868855218855219,0.878114478114478,0.883052749719417,0.403376623376623,0.840151515151515,0.83801247771836,0.746017316017316,0.839065532168981
ps5,0.825420168067227,0.848118279569892,0.836868686868687,0.847222222222222,0.827688172043011,0.853030303030303,0.852548209366391,0.840362811791383,0.822004608294931,0.847460317460318,0.855263157894737,0.845486111111111,0.866111111111111,0.841666666666667,0.786139455782313,0.821904761904762,0.824739583333333,0.871952380952381,0.78989898989899,0.725408163265306,0.88718253968254,0.658333333333333,0.850646258503401,0.844047619047619,0.339523809523809,0.435714285714286,0.378921568627451,0.443571428571429,0.436666666666667,0.399047619047619,0.427619047619048,0.444285714285714,0.383333333333333,0.362108843537415,0.411666666666667,0.373333333333333,0.412857142857143,0.336580086580087,0.319285714285714,0.340952380952381,0.403333333333333,0.468837535014006,0.425714285714286,0.392857142857143,0.39952380952381,0.386190476190476,0.395798319327731,0.430680272108844,0.401802721088435,0.818095238095238,0.8265625,0.818775510204082,0.306428571428571,0.238888888888889,0.247619047619048,0.192987012987013,NA,0.354285714285714,0.367142857142857,0.358571428571429,0.330952380952381,0.34,0.843,0.842857142857143,0.799045138888889,0.822115384615385,0.846108058608059,0.797789115646258,0.809285714285714,0.801455026455026,0.851282051282051,0.850617283950617,0.859876543209876,0.864814814814815,0.437619047619048,0.83828125,0.831127450980392,0.733095238095238,0.819211822660099
pt1,0.799894957983193,0.816129032258064,0.779292929292929,0.806666666666667,0.742204301075269,0.777272727272727,0.756841138659321,0.771519274376417,0.745161290322581,0.794444444444445,0.800877192982456,0.802777777777778,0.846825396825397,0.770634920634921,0.76921768707483,0.776666666666667,0.76875,0.814666666666667,0.704040404040404,0.699523809523809,0.797777777777778,0.726190476190476,0.870680272108844,0.853174603174603,0.33,0.291904761904762,0.330392156862745,0.309523809523809,0.311904761904762,0.333809523809524,0.297619047619048,0.376666666666667,0.314285714285714,0.321292517006803,0.292857142857143,0.307936507936508,0.285714285714286,0.35008658008658,0.359251700680272,0.355714285714286,0.335714285714286,0.304271708683473,0.344761904761905,0.328571428571429,0.318571428571428,0.29952380952381,0.259173669467787,0.342585034013605,0.329863945578231,0.726190476190476,0.757291666666667,0.741394557823129,0.356190476190476,0.265151515151515,0.225714285714286,0.317922077922078,0.354285714285714,NA,0.168571428571429,0.196190476190476,0.13952380952381,0.185238095238095,0.795,0.785952380952381,0.715451388888889,0.807692307692308,0.797069597069597,0.693469387755102,0.773333333333333,0.799647266313933,0.826923076923077,0.825925925925926,0.795061728395061,0.822222222222222,0.33,0.81875,0.762745098039215,0.737619047619048,0.76135741652983
pt2,0.790091036414566,0.788172043010753,0.757575757575758,0.792777777777778,0.733602150537635,0.797474747474747,0.787649219467401,0.784852607709751,0.761827956989247,0.792222222222222,0.81140350877193,0.809722222222222,0.83015873015873,0.803968253968254,0.744132653061224,0.785714285714286,0.777083333333333,0.837619047619048,0.736363636363636,0.712857142857143,0.822777777777778,0.729047619047619,0.880204081632653,0.861269841269841,0.30047619047619,0.291904761904762,0.340686274509804,0.285238095238095,0.316666666666667,0.342380952380952,0.311428571428571,0.323333333333333,0.315714285714286,0.339863945578231,0.28047619047619,0.307460317460317,0.240952380952381,0.329610389610389,0.344965986394558,0.393809523809524,0.284761904761905,0.285644257703081,0.322380952380952,0.277619047619048,0.263809523809524,0.265238095238095,0.273389355742297,0.32734693877551,0.303197278911565,0.712857142857143,0.785416666666667,0.749013605442177,0.357619047619048,0.259090909090909,0.20952380952381,0.297445887445887,0.367142857142857,0.168571428571429,NA,0.203333333333333,0.081428571428572,0.14,0.785,0.804047619047619,0.738368055555556,0.808333333333333,0.774908424908425,0.713945578231293,0.77952380952381,0.79347442680776,0.846153846153846,0.844444444444444,0.823456790123457,0.84320987654321,0.313809523809524,0.836979166666667,0.781617647058823,0.763809523809524,0.765380405035578
pt3,0.839110644257703,0.843548387096774,0.796464646464647,0.800555555555556,0.765860215053764,0.813131313131313,0.804820936639119,0.78437641723356,0.775806451612903,0.830555555555556,0.847368421052632,0.811805555555556,0.831315192743764,0.803968253968254,0.762287414965986,0.796666666666667,0.789583333333333,0.855619047619048,0.732828282828283,0.718571428571429,0.855,0.718095238095238,0.870680272108844,0.853174603174603,0.385714285714286,0.353809523809524,0.420098039215686,0.364285714285714,0.373809523809524,0.417619047619048,0.38952380952381,0.414761904761905,0.338571428571428,0.362721088435374,0.349523809523809,0.366031746031746,0.338571428571429,0.410779220779221,0.424489795918367,0.437142857142857,0.35047619047619,0.37436974789916,0.414761904761905,0.343333333333333,0.371428571428571,0.355714285714286,0.298879551820728,0.413061224489796,0.41843537414966,0.734761904761905,0.810416666666667,0.765204081632653,0.42952380952381,0.308585858585859,0.23,0.381731601731602,0.358571428571429,0.196190476190476,0.203333333333333,NA,0.142857142857143,0.211904761904762,0.831666666666667,0.789285714285714,0.780555555555556,0.844230769230769,0.83003663003663,0.748231292517007,0.793809523809524,0.810758377425044,0.839743589743589,0.838271604938271,0.796296296296296,0.823456790123457,0.382380952380952,0.8484375,0.8,0.74047619047619,0.801012588943623
pt4,0.811659663865546,0.802688172043011,0.774242424242424,0.811111111111111,0.756720430107527,0.802020202020202,0.790679522497704,0.765328798185941,0.766666666666667,0.816111111111111,0.81140350877193,0.80625,0.835873015873016,0.805555555555556,0.750085034013605,0.795714285714286,0.786458333333333,0.833619047619048,0.745454545454545,0.705714285714286,0.831111111111111,0.72047619047619,0.880204081632653,0.861269841269841,0.331904761904762,0.265238095238095,0.341666666666667,0.247142857142857,0.29,0.335714285714286,0.309047619047619,0.311428571428571,0.289047619047619,0.30891156462585,0.263809523809524,0.291269841269841,0.227142857142857,0.335324675324675,0.376394557823129,0.390952380952381,0.258095238095238,0.273389355742297,0.332857142857143,0.250952380952381,0.258571428571429,0.251428571428571,0.214565826330532,0.314965986394558,0.312721088435374,0.718095238095238,0.7859375,0.756632653061225,0.363809523809524,0.244444444444444,0.166190476190476,0.307922077922078,0.330952380952381,0.13952380952381,0.081428571428572,0.142857142857143,NA,0.106190476190476,0.803,0.801190476190476,0.746701388888889,0.831410256410256,0.786446886446886,0.71108843537415,0.775714285714286,0.80705467372134,0.847435897435897,0.845679012345679,0.81358024691358,0.833333333333333,0.346666666666667,0.838020833333333,0.788235294117647,0.751904761904762,0.777449370552819
pt5,0.797934173669468,0.786559139784946,0.765151515151515,0.801666666666667,0.756720430107527,0.793434343434343,0.770477502295684,0.77437641723356,0.751612903225806,0.813333333333333,0.798245614035088,0.792361111111111,0.840634920634921,0.811904761904762,0.781037414965986,0.795238095238096,0.779166666666667,0.820285714285714,0.734343434343434,0.704285714285714,0.823888888888889,0.698095238095238,0.874965986394558,0.857460317460317,0.321428571428571,0.247142857142857,0.328921568627451,0.259523809523809,0.303809523809524,0.323809523809524,0.300952380952381,0.326666666666667,0.291904761904762,0.315578231292517,0.284761904761905,0.303174603174603,0.260952380952381,0.352943722943723,0.365918367346939,0.396190476190476,0.276190476190476,0.272899159663866,0.368095238095238,0.27047619047619,0.278571428571428,0.279523809523809,0.245448179271709,0.341632653061224,0.332721088435374,0.713333333333333,0.7796875,0.755680272108844,0.375238095238095,0.245454545454545,0.196666666666667,0.301255411255411,0.34,0.185238095238095,0.14,0.211904761904762,0.106190476190476,NA,0.789666666666667,0.798809523809524,0.740451388888889,0.802564102564103,0.776831501831502,0.682993197278912,0.762857142857143,0.792857142857143,0.841666666666667,0.841358024691358,0.816666666666667,0.835185185185185,0.348095238095238,0.831770833333333,0.773529411764706,0.738571428571428,0.77716201423098
sdh,0.728095238095238,0.718344155844156,0.555079365079365,0.586742424242424,0.627536231884058,0.639732142857143,0.531344696969697,0.629761904761905,0.561796536796537,0.562337662337662,0.656862745098039,0.618518518518518,0.671794871794872,0.604166666666667,0.682305194805195,0.479166666666667,0.57202380952381,0.564912280701754,0.543995859213251,0.878285714285714,0.630627705627706,0.819666666666667,0.87014652014652,0.846382783882784,0.791,0.807666666666667,0.811666666666667,0.807666666666667,0.787666666666667,0.813,0.781,0.817307692307692,0.816333333333333,0.809666666666666,0.807666666666667,0.780333333333333,0.807666666666667,0.817666666666667,0.830333333333333,0.849666666666667,0.816333333333333,0.799666666666667,0.816333333333333,0.816333333333333,0.807666666666667,0.791,0.810069444444445,0.789666666666667,0.791,0.620375457875458,0.710664682539683,0.638141025641026,0.809666666666666,0.822569444444444,0.803,0.821666666666667,0.843,0.795,0.785,0.831666666666667,0.803,0.789666666666667,NA,0.77724358974359,0.568402777777778,0.587719298245614,0.589473684210526,0.552152014652015,0.773397435897436,0.553333333333333,0.861111111111111,0.868421052631579,0.850877192982456,0.868421052631579,0.774238095238095,0.800297619047619,0.767285714285714,0.808666666666666,0.595238095238095
