L1,L2,Score,Score_distance,cluster_number
pcd,ast,1.32055367431179,0.882785544448532,1
ast,pcd,1.3205536743118,0.882785544448531,1
pcd,fur,1.32357320788967,0.882517258932661,1
fur,pcd,1.3235732078897,0.882517258932658,1
dlm,win,1.32736983753178,0.882179928442427,1
win,dlm,1.32736983753181,0.882179928442425,1
pcd,dlm,1.32744840038296,0.882172948134206,1
dlm,pcd,1.327448400383,0.882172948134203,1
sc4,pcd,1.34660166816835,0.880471180561208,1
pcd,sc4,1.34660166816837,0.880471180561207,1
rup,ast,1.34683702531768,0.880450269081805,1
ast,rup,1.3468370253177,0.880450269081803,1
ll2,win,1.34797112375452,0.880349504451663,1
win,ll2,1.34797112375453,0.880349504451662,1
itg,win,1.35166558116019,0.880021251963198,1
win,itg,1.35166558116025,0.880021251963193,1
pcd,eg1,1.35403293490004,0.879810912616751,1
eg1,pcd,1.35403293490006,0.87981091261675,1
qbb,lm2,1.35534462525898,0.879694368946832,1
lm2,qbb,1.355344625259,0.87969436894683,1
pcd,itf,1.35757539183676,0.879496165367812,1
itf,pcd,1.35757539183678,0.87949616536781,1
ca1,rup,1.35957143847653,0.879318816651979,1
rup,ca1,1.35957143847654,0.879318816651978,1
pcd,ca1,1.36743453539756,0.87862018060128,1
ca1,pcd,1.36743453539758,0.878620180601279,1
itf,fra,1.37057303313385,0.87834132512161,1
fra,itf,1.37057303313388,0.878341325121608,1
ll2,ruq,1.3760051208834,0.877858684201562,1
ruq,ll2,1.37600512088345,0.877858684201558,1
ve1,ruo,1.38255412719336,0.877276805083152,1
ruo,ve1,1.38255412719337,0.877276805083151,1
sc3,win,1.38994562931924,0.876620070223361,1
win,sc3,1.38994562931928,0.876620070223358,1
pcd,ca2,1.39100672229863,0.876525792127086,1
ca2,pcd,1.39100672229865,0.876525792127084,1
eg1,win,1.39907440354879,0.875808978761625,1
win,eg1,1.3990744035488,0.875808978761624,1
pcd,glg,1.40040846024159,0.875690447843257,1
glg,pcd,1.40040846024161,0.875690447843256,1
pcd,ro1,1.40328321677451,0.875435025765792,1
ro1,pcd,1.40328321677453,0.875435025765791,1
eg3,win,1.40575279897952,0.875215603421656,1
win,eg3,1.40575279897953,0.875215603421655,1
lm2,rup,1.40641912769501,0.875156400124669,1
rup,lm2,1.40641912769503,0.875156400124667,1
pr2,lm1,1.40748423058336,0.875061765748039,1
lm1,pr2,1.40748423058337,0.875061765748038,1
pcd,li3,1.41649651067543,0.874261024788777,1
li3,pcd,1.41649651067544,0.874261024788777,1
fra,lm1,1.42193543382957,0.873777776543128,1
lm1,fra,1.42193543382959,0.873777776543126,1
ca3,rup,1.42431360485996,0.873566476080569,1
rup,ca3,1.42431360485997,0.873566476080569,1
li2,ruo,1.42811953377353,0.873228319350197,1
ruo,li2,1.42811953377353,0.873228319350197,1
eg4,win,1.43135743404519,0.872940631956659,1
win,eg4,1.4313574340452,0.872940631956658,1
sc4,fra,1.43677616794529,0.872459177525947,1
fra,sc4,1.43677616794539,0.872459177525938,1
ruo,sc2,1.43703050461661,0.872436579716282,1
sc2,ruo,1.43703050461663,0.87243657971628,1
pm4,ruq,1.44096316538386,0.872087162862495,1
lm2,ruq,1.44852205379901,0.87141555573326,1
ruq,lm2,1.44852205379905,0.871415555733257,1
