L1,L2,Score_distance
eg3,pcd,0.861962143269666
pm4,win,0.861534891038211
spa,fra,0.861103906430744
fra,spa,0.861103906430742
qbb,ruq,0.861017375904459
ruq,qbb,0.861017375904459
ron,ro3,0.860744176736058
ro3,ron,0.860744176736052
ruq,pr1,0.860704518881094
pr1,ruq,0.860704518881089
pr2,ro2,0.860629233573458
ro2,pr2,0.860629233573456
pcd,sc1,0.860529284905667
sc1,pcd,0.860529284905664
ruq,ro3,0.860458644256629
ro3,ruq,0.860458644256623
pcd,li1,0.86003957312798
li1,pcd,0.860039573127979
pm1,ruq,0.859856046022123
ruq,pm1,0.859856046022123
pcd,ito,0.859843055717522
ito,pcd,0.85984305571752
ro3,win,0.859712985315481
win,ro3,0.85971298531548
sc1,rup,0.859682041103438
rup,sc1,0.859682041103436
fro,rup,0.859139798345578
rup,fro,0.85913979834557
ll2,pr2,0.858494792548398
pr2,ll2,0.858494792548397
spa,ruq,0.858153490497691
ruq,spa,0.85815349049769
rup,pm4,0.857439092534282
lm2,pr2,0.857022537812348
pr2,lm2,0.857022537812347
fur,win,0.856848186172743
win,fur,0.856848186172743
dlm,pr2,0.856609097869453
pr2,dlm,0.856609097869451
ve2,win,0.856599862508941
win,ve2,0.856599862508938
pcd,ro2,0.856374120037501
ro2,pcd,0.856374120037499
qbb,ll1,0.856241124210888
ll1,qbb,0.856241124210883
ro4,win,0.856207390889029
win,ro4,0.856207390889029
ron,li3,0.856153528759463
li3,ron,0.856153528759462
pr2,ast,0.856037962723805
ast,pr2,0.856037962723803
li2,ruq,0.855890023124745
ruq,li2,0.855890023124745
eg3,ruo,0.855880935728943
ruo,eg3,0.855880935728943
li2,pr2,0.855864896998924
pr2,li2,0.855864896998922
rup,li2,0.855751620947213
li2,rup,0.855751620947211
qbb,pm2,0.855647386411236
pm2,qbb,0.855647386411233
ruo,sc1,0.855392203890967
sc1,ruo,0.855392203890963
eg4,rup,0.855233377619514
rup,eg4,0.855233377619504
ruo,eg1,0.855199130788693
eg1,ruo,0.855199130788692
pm4,sro,0.855133153063497
pcd,ve1,0.854851986998105
ve1,pcd,0.854851986998103
ruq,ca3,0.854827635882442
ca3,ruq,0.854827635882439
lat,pm1,0.854512420823856
pm1,lat,0.854512420823854
rup,fur,0.854223031350134
