L1,L2,Score
pb7,pb4,0.152021656598904
pb4,pb7,0.152021656598904
wb5,wb3,0.153105631016748
wb3,wb5,0.153105631016748
pb2,p13,0.154996738361463
p13,pb2,0.154996738361463
pb6,pb5,0.159767383691846
pb5,pb6,0.159767383691846
pb7,pb1,0.160327913228541
pb1,pb7,0.160327913228541
p20,p14,0.160455647417169
p14,p20,0.160455647417169
pb4,p20,0.162082978924488
p20,pb4,0.162082978924488
pb7,pb2,0.162358219504061
pb2,pb7,0.162358219504061
p20,p17,0.162487434764048
p17,p20,0.162487434764048
pt4,pt1,0.162803619622163
pt1,pt4,0.162803619622163
pt5,pt2,0.163206395026092
pt2,pt5,0.163206395026092
pb2,p11,0.163936881247998
p11,pb2,0.163936881247998
p24,p10,0.164708278042701
p10,p24,0.164708278042701
p22,p14,0.165304663953019
p14,p22,0.165304663953019
pb7,pb5,0.16605910962165
pb5,pb7,0.16605910962165
pb4,p17,0.166765276497379
p17,pb4,0.166765276497379
pt4,pt3,0.166822897634293
pt3,pt4,0.166822897634293
p17,p13,0.167132445613458
p13,p17,0.167132445613458
pb1,p17,0.169440242057489
p17,pb1,0.169440242057489
pb2,p20,0.169835874929913
p20,pb2,0.169835874929913
pb7,p11,0.171643594916469
p11,pb7,0.171643594916469
p18,p13,0.17216530375662
p13,p18,0.17216530375662
pb1,p11,0.172267853783938
p11,pb1,0.172267853783938
pb4,pb2,0.172736706233707
pb2,pb4,0.172736706233707
pb1,p20,0.17282863388322
p20,pb1,0.17282863388322
pb2,p15,0.174817627521476
p15,pb2,0.174817627521476
pb7,p14,0.17560099379908
p14,pb7,0.17560099379908
ps3,ps2,0.176960504216232
ps2,ps3,0.176960504216232
pb5,pb2,0.17696361863983
pb2,pb5,0.17696361863983
pb7,p20,0.181789281515091
p20,pb7,0.181789281515091
wb3,wb2,0.183443085606774
wb2,wb3,0.183443085606774
pb6,p13,0.18378572096357
p13,pb6,0.18378572096357
p18,p14,0.184236269623143
p14,p18,0.184236269623143
p18,p11,0.186085538181647
p11,p18,0.186085538181647
pb6,p18,0.186463980502133
p18,pb6,0.186463980502133
p20,p18,0.18697406158404
p18,p20,0.18697406158404
pb5,p14,0.187403970015365
p14,pb5,0.187403970015365
pb9,pb6,0.189280826178923
pb6,pb9,0.189280826178923
pb2,pb1,0.189301725246661
pb1,pb2,0.189301725246661
pb4,p14,0.19234948924147
p14,pb4,0.19234948924147
pb6,p20,0.195417578980294
p20,pb6,0.195417578980294
p17,p11,0.196414610394063
p11,p17,0.196414610394063
pt4,ps3,0.196889103803998
ps3,pt4,0.196889103803998
pt1,pt2,0.197057654075548
p18,p15,0.198351648351649
p15,p18,0.198351648351649
pt2,pt1,0.198978608595106
pb9,p20,0.201424834418656
p20,pb9,0.201424834418656
pb2,p18,0.203883808102857
p18,pb2,0.203883808102857
p22,p15,0.204271631982476
p15,p22,0.204271631982476
pb7,pb6,0.204641467225011
pb6,pb7,0.204641467225011
p15,p11,0.207883960111289
p11,p15,0.207883960111289
pb9,pb2,0.209011636627109
pb2,pb9,0.209011636627109
pb5,p15,0.209210258657112
p15,pb5,0.209210258657112
pb9,pb5,0.212149522316017
pb5,pb9,0.212149522316017
pb3,p12,0.212261488088518
p12,pb3,0.212261488088518
p15,p13,0.212693020864174
p13,p15,0.212693020864174
p18,p17,0.213304013194063
p17,p18,0.213304013194063
p20,p15,0.213504994589848
p15,p20,0.213504994589848
pb1,p14,0.213874715014657
p14,pb1,0.213874715014657
pb9,p13,0.214190687361419
p13,pb9,0.214190687361419
