L1_L2,Score
pcd_dlm,1.32744840038296
dlm_pcd,1.327448400383
sc4_pcd,1.34660166816835
pcd_sc4,1.34660166816837
rup_ast,1.34683702531768
ast_rup,1.3468370253177
ll2_win,1.34797112375452
win_ll2,1.34797112375453
itg_win,1.35166558116019
win_itg,1.35166558116025
pcd_eg1,1.35403293490004
eg1_pcd,1.35403293490006
qbb_lm2,1.35534462525898
lm2_qbb,1.355344625259
pcd_itf,1.35757539183676
itf_pcd,1.35757539183678
ca1_rup,1.35957143847653
rup_ca1,1.35957143847654
pcd_ca1,1.36743453539756
ca1_pcd,1.36743453539758
itf_fra,1.37057303313385
fra_itf,1.37057303313388
ll2_ruq,1.3760051208834
ruq_ll2,1.37600512088345
ve1_ruo,1.38255412719336
ruo_ve1,1.38255412719337
sc3_win,1.38994562931924
win_sc3,1.38994562931928
pcd_ca2,1.39100672229863
ca2_pcd,1.39100672229865
eg1_win,1.39907440354879
win_eg1,1.3990744035488
pcd_glg,1.40040846024159
glg_pcd,1.40040846024161
pcd_ro1,1.40328321677451
ro1_pcd,1.40328321677453
eg3_win,1.40575279897952
win_eg3,1.40575279897953
lm2_rup,1.40641912769501
rup_lm2,1.40641912769503
pr2_lm1,1.40748423058336
lm1_pr2,1.40748423058337
pcd_li3,1.41649651067543
li3_pcd,1.41649651067544
fra_lm1,1.42193543382957
lm1_fra,1.42193543382959
ca3_rup,1.42431360485996
rup_ca3,1.42431360485997
li2_ruo,1.42811953377353
ruo_li2,1.42811953377353
eg4_win,1.43135743404519
win_eg4,1.4313574340452
sc4_fra,1.43677616794529
fra_sc4,1.43677616794539
ruo_sc2,1.43703050461661
sc2_ruo,1.43703050461663
pm4_ruq,1.44096316538386
lm2_ruq,1.44852205379901
ruq_lm2,1.44852205379905
ruo_eg2,1.449715009967
eg2_ruo,1.44971500996701
pcd_eg2,1.44993952878696
eg2_pcd,1.44993952878699
li3_win,1.45117901786057
win_li3,1.4511790178606
li1_win,1.45636591305261
win_li1,1.45636591305262
pcd_ro4,1.45814472806971
ro4_pcd,1.45814472806972
pm4_rup,1.4597025738228
pr2_ca3,1.46434667907299
ca3_pr2,1.464346679073
lat_lm2,1.47282642945053
lm2_lat,1.47282642945055
pcd_ca4,1.47887837682563
ca4_pcd,1.47887837682566
pm2_rup,1.47927054026372
rup_pm2,1.47927054026373
ruo_glg,1.48029995567146
glg_ruo,1.48029995567149
ruo_ve2,1.48074534338497
ve2_ruo,1.48074534338498
ro2_win,1.48207922559511
win_ro2,1.48207922559511
ruo_fur,1.48682501779943
fur_ruo,1.48682501779944
pcd_ro3,1.48708590238335
ro3_pcd,1.48708590238337
pm1_rup,1.49363700084829
rup_pm1,1.49363700084829
pr2_spa,1.49630727426342
spa_pr2,1.49630727426344
itf_pr2,1.50379189126389
pr2_itf,1.50379189126389
pcd_ca6,1.50544574257407
ca6_pcd,1.50544574257409
ruo_sro,1.50578657123892
sro_ruo,1.50578657123893
qbb_pm1,1.50606813298706
pm1_qbb,1.50606813298708
por_pr2,1.50652260676657
pr2_por,1.50652260676658
ro3_pr2,1.50760409630013
pr2_ro3,1.50760409630014
pcd_ca5,1.51237682930404
ca5_pcd,1.51237682930407
rup_ro1,1.51384511054082
ro1_rup,1.51384511054085
ruq_pm5,1.51657758080313
pm5_ruq,1.51657758080314
ruo_sc3,1.51933648565822
sc3_ruo,1.51933648565823
eg1_pr2,1.52153654544856
pr2_eg1,1.52153654544856
itg_pcd,1.52185876247158
pcd_itg,1.52185876247158
ito_win,1.52227133271448
win_ito,1.5222713327145
ruo_itf,1.52350538663735
itf_ruo,1.52350538663738
ruo_src,1.52476347534338
src_ruo,1.52476347534339
qbb_li3,1.52740706686448
li3_qbb,1.52740706686449
pcd_eg4,1.52992943961645
eg4_pcd,1.52992943961648
pr2_src,1.53074328539147
src_pr2,1.53074328539147
qbb_pm5,1.53473304644263
pm5_qbb,1.53473304644267
pcd_sc2,1.53514359992844
sc2_pcd,1.53514359992847
pm4_por,1.53567326529723
qbb_pm3,1.5449227162354
pm3_qbb,1.54492271623542
lm2_win,1.54533524676277
win_lm2,1.54533524676278
pcd_eg3,1.55491950975826
eg3_pcd,1.55491950975828
pm4_win,1.55972820192682
spa_fra,1.56457890171049
fra_spa,1.56457890171051
qbb_ruq,1.56555279636441
ruq_qbb,1.56555279636441
ron_ro3,1.56862763273699
ro3_ron,1.56862763273705
ruq_pr1,1.56907397895252
pr1_ruq,1.56907397895257
pr2_ro2,1.56992130950478
ro2_pr2,1.56992130950481
pcd_sc1,1.5710462243459
sc1_pcd,1.57104622434593
ruq_ro3,1.57184127961022
ro3_ruq,1.57184127961028
pcd_li1,1.57655789407361
li1_pcd,1.57655789407362
pm1_ruq,1.57862347803474
ruq_pm1,1.57862347803474
pcd_ito,1.57876968294932
ito_pcd,1.57876968294934
ro3_win,1.58023361567478
win_ro3,1.58023361567479
sc1_rup,1.58058189048567
rup_sc1,1.5805818904857
fro_rup,1.58668479249813
rup_fro,1.58668479249822
ll2_pr2,1.59394428489447
pr2_ll2,1.59394428489448
spa_ruq,1.59778561415507
ruq_spa,1.59778561415508
rup_pm4,1.60582611023433
lm2_pr2,1.61051440272683
pr2_lm2,1.61051440272684
fur_win,1.61247671749599
win_fur,1.612476717496
dlm_pr2,1.61516763861233
pr2_dlm,1.61516763861235
ve2_win,1.61527158190975
win_ve2,1.61527158190978
pcd_ro2,1.61781229667869
ro2_pcd,1.61781229667871
qbb_ll1,1.61930915484069
ll1_qbb,1.61930915484074
ro4_win,1.61968882087564
win_ro4,1.61968882087564
ron_li3,1.62029503514805
li3_ron,1.62029503514806
pr2_ast,1.6215957223059
ast_pr2,1.62159572230592
li2_ruq,1.62326077151815
ruq_li2,1.62326077151816
eg3_ruo,1.62336304948374
ruo_eg3,1.62336304948374
li2_pr2,1.62354356420025
pr2_li2,1.62354356420027
rup_li2,1.62481847775866
li2_rup,1.62481847775868
qbb_pm2,1.62599162972826
pm2_qbb,1.62599162972829
ruo_sc1,1.62886369006271
sc1_ruo,1.62886369006275
eg4_rup,1.6306512679651
rup_eg4,1.63065126796521
ruo_eg1,1.63103671350532
eg1_ruo,1.63103671350533
pm4_sro,1.63177928790773
pcd_ve1,1.6349437911149
ve1_pcd,1.63494379111493
ruq_ca3,1.63521786111516
ca3_ruq,1.63521786111519
lat_pm1,1.63876558321475
pm1_lat,1.63876558321477
rup_fur,1.64202264027261
fur_rup,1.64202264027262
dlm_fra,1.64350262336827
fra_dlm,1.64350262336829
pm4_fra,1.64824897518279
win_eg2,1.65611287864316
eg2_win,1.65611287864317
ruo_ve3,1.66220202542342
ve3_ruo,1.66220202542343
eg2_pr2,1.66283968606705
pr2_eg2,1.66283968606706
pm3_rup,1.66389114848409
rup_pm3,1.66389114848409
ron_fro,1.66403630798978
fro_ron,1.66403630798979
lat_li3,1.66593503304328
li3_lat,1.66593503304328
sc2_rup,1.66677769293548
rup_sc2,1.66677769293551
itg_pr2,1.67396781294851
pr2_itg,1.67396781294853
ca4_pr2,1.67442429816121
pr2_ca4,1.67442429816121
sc1_pr2,1.67456232513759
pr2_sc1,1.67456232513762
li3_pr2,1.67533551765645
pr2_li3,1.67533551765649
pcd_sc3,1.67616657660643
sc3_pcd,1.67616657660643
sc4_pr2,1.67654623989747
pr2_sc4,1.67654623989757
pr2_ca2,1.69012325942905
ca2_pr2,1.69012325942906
pr2_ca5,1.6917776549571
ca5_pr2,1.69177765495711
ro1_win,1.69996515557454
win_ro1,1.69996515557454
sc3_rup,1.7003560185878
rup_sc3,1.70035601858782
ve1_pr2,1.70198131846954
pr2_ve1,1.70198131846956
ruq_sc4,1.70273482102716
sc4_ruq,1.70273482102716
ruo_li1,1.70505484100871
li1_ruo,1.70505484100872
pr2_ca6,1.71559003967423
ca6_pr2,1.71559003967426
lat_ll1,1.71791184323744
ll1_lat,1.71791184323748
fro_ruq,1.72087143143659
ruq_fro,1.72087143143666
pcd_ve2,1.7260159649167
ve2_pcd,1.72601596491671
qbb_ca3,1.73211221591324
ca3_qbb,1.73211221591336
por_fra,1.73358908289603
fra_por,1.73358908289607
glg_pr2,1.73369526326722
pr2_glg,1.73369526326722
li2_fra,1.74064302838656
fra_li2,1.74064302838659
ve1_win,1.74778902717201
win_ve1,1.74778902717203
win_ca3,1.75031506511816
ca3_win,1.75031506511819
ca4_win,1.75310579367008
win_ca4,1.75310579367009
rup_spa,1.7538293074669
spa_rup,1.75382930746692
ruo_itg,1.75605102366317
itg_ruo,1.75605102366318
src_rup,1.75733150227532
rup_src,1.75733150227535
sc2_fra,1.76239703117901
fra_sc2,1.7623970311791
ca5_win,1.76420105024313
win_ca5,1.76420105024315
ca6_win,1.76463236153129
win_ca6,1.76463236153132
pm1_ron,1.76471440159892
ron_pm1,1.76471440159892
por_rup,1.77140841143751
rup_por,1.77140841143754
ro2_ruq,1.78113759005421
ruq_ro2,1.78113759005421
lat_pm5,1.78671964570523
pm5_lat,1.78671964570528
ron_ro2,1.7915675107296
ro2_ron,1.79156751072964
pr2_ro1,1.79963867288527
ro1_pr2,1.79963867288529
ruq_pm4,1.80263367247406
qbb_pr1,1.80480945696477
pr1_qbb,1.80480945696479
src_fra,1.80816560458314
fra_src,1.80816560458318
ve1_ruq,1.80883673040955
ruq_ve1,1.80883673040961
ruq_ast,1.80895985801178
ast_ruq,1.8089598580118
fra_eg4,1.80913053849308
eg4_fra,1.8091305384931
ve3_win,1.81352271987358
win_ve3,1.81352271987362
ca5_rup,1.81629023956366
rup_ca5,1.81629023956371
pm1_win,1.81737866092375
win_pm1,1.81737866092378
qbb_pm4,1.82065078463391
pm1_pr2,1.82284722727954
pr2_pm1,1.82284722727955
eg4_ruq,1.82383716705953
ruq_eg4,1.82383716705958
ca4_rup,1.82465284500642
rup_ca4,1.82465284500647
eg3_pr2,1.82588400581672
pr2_eg3,1.82588400581674
pm2_ruq,1.83260385540769
ruq_pm2,1.83260385540769
fra_eg1,1.83403858251646
eg1_fra,1.83403858251647
ron_lm2,1.83500653241144
lm2_ron,1.83500653241146
ca6_rup,1.83562906234725
rup_ca6,1.83562906234732
lat_pm3,1.83606550251047
pm3_lat,1.8360655025105
qbb_ro3,1.83634281972072
ro3_qbb,1.8363428197208
ron_pm5,1.83697170424031
pm5_ron,1.83697170424037
ast_fra,1.84079025048475
fra_ast,1.84079025048476
pm5_win,1.84524089625233
win_pm5,1.84524089625234
win_pm4,1.84953367275227
ca2_rup,1.85470486382201
rup_ca2,1.85470486382204
qbb_fur,1.85472936802661
fur_qbb,1.85472936802662
sro_ro3,1.85574432174684
ro3_sro,1.85574432174688
li1_pr2,1.85995365224406
pr2_li1,1.8599536522441
lat_ca3,1.8619453558606
ca3_lat,1.86194535586071
ruo_ito,1.86729320820986
ito_ruo,1.86729320820988
ca2_win,1.87085431040706
win_ca2,1.87085431040706
pr2_ca1,1.87453233795435
ca1_pr2,1.87453233795438
pcd_pm5,1.87649924085832
pm5_pcd,1.87649924085835
fra_ll1,1.87683280924555
ll1_fra,1.87683280924558
pm4_ca3,1.88037271147862
qbb_rup,1.88171088476504
rup_qbb,1.88171088476509
ruq_sc2,1.88397486345194
sc2_ruq,1.88397486345195
pm5_ast,1.88407414360194
eg4_pr2,1.88486059504654
pr2_eg4,1.88486059504656
ro4_rup,1.88612481265123
rup_ro4,1.88612481265125
lat_pm2,1.88797120828716
pm2_lat,1.88797120828719
por_ruq,1.88814882522878
ruq_por,1.88814882522878
eg2_ruq,1.88899940986469
ruq_eg2,1.88899940986469
rup_li1,1.89316436346084
li1_rup,1.89316436346085
sro_ll1,1.89414876090197
ll1_sro,1.89414876090203
ca6_fra,1.89567882700303
fra_ca6,1.89567882700303
eg3_rup,1.89583202556893
rup_eg3,1.895832025569
sro_ro2,1.90104447779052
ro2_sro,1.90104447779054
ito_pr2,1.90220164109934
pr2_ito,1.90220164109937
fra_eg2,1.90361362235369
eg2_fra,1.90361362235373
fur_pr2,1.90473448325372
pr2_fur,1.90473448325376
pm4_fro,1.90525642742897
pm5_ca1,1.90639395525412
