L1,L2,Score
ve2,ruo,1.86385919371944
ruo,ve2,1.86385919371944
lm2,lat,1.87298202947042
lat,lm2,1.87298202947042
sc3,fra,1.87615509922404
fra,sc3,1.87615509922404
ruq,eg4,1.88216026083263
eg4,ruq,1.88216026083263
ve2,rup,1.8860903867514
rup,ve2,1.8860903867514
ruq,eg1,1.88628448723893
eg1,ruq,1.88628448723893
src,pr2,1.88679149148148
pr2,src,1.88679149148148
rup,qbb,1.89144024122719
qbb,rup,1.89144024122719
pcd,lm2,1.89273081618893
lm2,pcd,1.89273081618893
ro2,pr2,1.89351203546858
pr2,ro2,1.89351203546858
win,eg3,1.89675262992432
eg3,win,1.89675262992432
rup,nea,1.89884669420636
nea,rup,1.89884669420636
ro3,pr2,1.90380144224934
pr2,ro3,1.90380144224934
lm1,fra,1.90904342533903
fra,lm1,1.90904342533903
win,ita,1.91214625826655
ita,win,1.91214625826655
pcd,fur,1.91762053909338
fur,pcd,1.91762053909338
win,eg4,1.91773917824855
eg4,win,1.91773917824855
pr2,dlm,1.91833234922241
dlm,pr2,1.91833234922241
por,lm1,1.91925169696356
lm1,por,1.91925169696356
ruq,ca6,1.92625281250333
ca6,ruq,1.92625281250333
ruo,fur,1.92889655628597
fur,ruo,1.92889655628597
ro3,lat,1.92891186910255
lat,ro3,1.92891186910255
ruo,glg,1.92991534439265
glg,ruo,1.92991534439265
pcd,eg1,1.93118094446976
eg1,pcd,1.93118094446976
rup,eg3,1.9326653963652
eg3,rup,1.9326653963652
win,li3,1.93319571504047
li3,win,1.93319571504047
ruq,pm2,1.93582344737306
pm2,ruq,1.93582344737306
ro3,pcd,1.93605605377828
pcd,ro3,1.93605605377828
qbb,pm5,1.93757924123659
pm5,qbb,1.93757924123659
win,ro4,1.93889830411249
ro4,win,1.93889830411249
sc1,ruq,1.94270780093321
ruq,sc1,1.94270780093321
ron,ll1,1.94343974483644
ll1,ron,1.94343974483644
win,ve1,1.94689297740626
ve1,win,1.94689297740626
ro4,pcd,1.94766787767023
pcd,ro4,1.94766787767023
ruo,eg1,1.95127832920059
eg1,ruo,1.95127832920059
lat,ca1,1.95564588819725
ca1,lat,1.95564588819725
rup,eg2,1.96044389632191
eg2,rup,1.96044389632191
sro,fro,1.96271697000034
fro,sro,1.96271697000034
rup,lat,1.9640430341213
lat,rup,1.9640430341213
por,dlm,1.96634239773605
dlm,por,1.96634239773605
li2,fra,1.96932289917508
fra,li2,1.96932289917508
ron,li3,1.9700134822687
li3,ron,1.9700134822687
sro,ro1,1.97174948733381
ro1,sro,1.97174948733381
pcd,glg,1.97299053470502
glg,pcd,1.97299053470502
win,ro1,1.97345904131081
ro1,win,1.97345904131081
fra,ast,1.97902288144838
ast,fra,1.97902288144838
qbb,pm1,1.98543882154058
pm1,qbb,1.98543882154058
ron,pm5,1.98911154194715
pm5,ron,1.98911154194715
ruq,ro1,1.99079782708693
ro1,ruq,1.99079782708693
qbb,li3,1.99162202767288
li3,qbb,1.99162202767288
src,ruo,1.9917323894072
ruo,src,1.9917323894072
pcd,itg,2.00833213343061
itg,pcd,2.00833213343061
ruq,ca4,2.01315617404165
ca4,ruq,2.01315617404165
ruq,pm3,2.03010382241355
pm3,ruq,2.03010382241355
ruq,eg2,2.03164884064282
eg2,ruq,2.03164884064282
sc2,ruq,2.03289908991344
ruq,sc2,2.03289908991344
sro,ruq,2.037902179216
ruq,sro,2.037902179216
ve3,rup,2.038473012341
rup,ve3,2.038473012341
ruo,eg3,2.04026725250592
eg3,ruo,2.04026725250592
sc4,ron,2.04223308965955
ron,sc4,2.04223308965955
ro2,qbb,2.04874268498285
qbb,ro2,2.04874268498285
win,ca6,2.04945486776708
ca6,win,2.04945486776708
sc1,rup,2.05282744517379
rup,sc1,2.05282744517379
dlm,ca3,2.05404403866093
ca3,dlm,2.05404403866093
qbb,pm3,2.05414755697416
pm3,qbb,2.05414755697416
lat,fro,2.05794004574419
fro,lat,2.05794004574419
pcd,li3,2.06090523606647
li3,pcd,2.06090523606647
pcd,ca6,2.06425487728784
ca6,pcd,2.06425487728784
ve3,ruo,2.06650994528122
ruo,ve3,2.06650994528122
win,ca2,2.0694905441505
ca2,win,2.0694905441505
por,pm1,2.07012307808345
pm1,por,2.07012307808345
por,pm5,2.07266517700722
pm5,por,2.07266517700722
win,ve2,2.07579200342372
ve2,win,2.07579200342372
src,ca3,2.08363103969616
ca3,src,2.08363103969616
ruo,itf,2.08469477154526
itf,ruo,2.08469477154526
ruq,li1,2.08686477337592
li1,ruq,2.08686477337592
ruq,itf,2.09102613866537
itf,ruq,2.09102613866537
por,ll1,2.09429350259535
ll1,por,2.09429350259535
win,ca1,2.10415044897841
ca1,win,2.10415044897841
ruq,ca5,2.10421769424862
ca5,ruq,2.10421769424862
ron,ro4,2.10763187123498
ro4,ron,2.10763187123498
win,ca4,2.12074562479051
ca4,win,2.12074562479051
pcd,ca4,2.13055267027053
ca4,pcd,2.13055267027053
ro2,pcd,2.13455177124211
pcd,ro2,2.13455177124211
li3,lat,2.13989104728099
lat,li3,2.13989104728099
sro,ca3,2.14046562652319
ca3,sro,2.14046562652319
ve3,ruq,2.14311749243456
ruq,ve3,2.14311749243456
ruo,li1,2.14378671374739
li1,ruo,2.14378671374739
fra,ca2,2.14537044540087
ca2,fra,2.14537044540087
ruq,glg,2.14788049709089
glg,ruq,2.14788049709089
win,lm2,2.15098070171818
lm2,win,2.15098070171818
ron,qbb,2.1512937796604
qbb,ron,2.1512937796604
win,ca5,2.15590164310735
ca5,win,2.15590164310735
qbb,pm2,2.15655063497544
pm2,qbb,2.15655063497544
ro1,qbb,2.15704595710973
qbb,ro1,2.15704595710973
itg,fra,2.15865786417135
fra,itg,2.15865786417135
pcd,ca5,2.15953389322184
ca5,pcd,2.15953389322184
ro1,pr2,2.16098634561684
pr2,ro1,2.16098634561684
pcd,ito,2.16515047359761
ito,pcd,2.16515047359761
pr2,itf,2.16517830642771
itf,pr2,2.16517830642771
ron,lm2,2.167237469411
lm2,ron,2.167237469411
ro4,qbb,2.18001128616757
qbb,ro4,2.18001128616757
win,fur,2.18106635246089
fur,win,2.18106635246089
sc3,ruq,2.18298481020665
ruq,sc3,2.18298481020665
ron,ca3,2.19445469336787
ca3,ron,2.19445469336787
pm1,lat,2.20676393335513
lat,pm1,2.20676393335513
sc2,pr2,2.21169564839826
pr2,sc2,2.21169564839826
ron,pm1,2.21321860617603
pm1,ron,2.21321860617603
ve2,ruq,2.21516446211026
ruq,ve2,2.21516446211026
ruq,itg,2.21694710769502
itg,ruq,2.21694710769502
qbb,pr1,2.22162975434961
pr1,qbb,2.22162975434961
por,pm3,2.22415534167295
pm3,por,2.22415534167295
pcd,li1,2.22539296580516
li1,pcd,2.22539296580516
ve1,pcd,2.23600312173605
pcd,ve1,2.23600312173605
ron,ro1,2.24017228237489
ro1,ron,2.24017228237489
spa,pr2,2.24357855557255
pr2,spa,2.24357855557255
pr2,ca1,2.24555801692115
ca1,pr2,2.24555801692115
pcd,eg2,2.24636777444473
eg2,pcd,2.24636777444473
ron,ca2,2.24677205115287
ca2,ron,2.24677205115287
win,ve3,2.2556854414004
ve3,win,2.2556854414004
win,eg2,2.2633579442387
eg2,win,2.2633579442387
sc1,ca3,2.26434687418114
ca3,sc1,2.26434687418114
sro,ro4,2.27660922850598
ro4,sro,2.27660922850598
spa,ro3,2.27778754426477
ro3,spa,2.27778754426477
pr2,eg1,2.28217499870885
eg1,pr2,2.28217499870885
ruq,ca1,2.28319599495897
ca1,ruq,2.28319599495897
pm5,lat,2.28857765515803
lat,pm5,2.28857765515803
sro,lm1,2.2993330032033
lm1,sro,2.2993330032033
ruo,itg,2.30163408336902
itg,ruo,2.30163408336902
fra,ca6,2.30262559021024
ca6,fra,2.30262559021024
ll1,fra,2.30449972692448
fra,ll1,2.30449972692448
ro3,por,2.30615934632285
por,ro3,2.30615934632285
src,ro2,2.31205787413702
ro2,src,2.31205787413702
por,pm2,2.31208716117279
pm2,por,2.31208716117279
fra,eg1,2.31385973351116
